HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ,Legal_Description
FDAC4EB0-9296-E011-82A2-00155D28E806,60E2E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,36.54,00:00.0,,,G,21-E,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 7=SW/4 SW/4=36.54 ACRES,,0.0,,,6.0,2.0,N,2.0,E,11,0602N02ECM,SW,0602N02ECM SW,SWSW
FEAC4EB0-9296-E011-82A2-00155D28E806,70D4E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.34,00:00.0,,,G,1285,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=39.34 ACRES,,0.0,,,7.0,5.0,N,3.0,E,11,0705N03ECM,SW,0705N03ECM SW,SWSW
FFAC4EB0-9296-E011-82A2-00155D28E806,76D4E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,40.0,00:00.0,,,G,2068,,ADMIN,29:19.8,Sfleming,11:44.3,Imported Location || LOT 4=SW/4 SW/4=40.00 ACRES,,0.0,,,7.0,5.0,N,6.0,E,11,0705N06ECM,SW,0705N06ECM SW,SWSW
00AD4EB0-9296-E011-82A2-00155D28E806,E1E2E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.48,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 5=SW/4 SW/4=39.48 ACRES,,0.0,,,7.0,6.0,N,3.0,E,11,0706N03ECM,SW,0706N03ECM SW,SWSW
20AD4EB0-9296-E011-82A2-00155D28E806,BCD9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.14,00:00.0,,,G,2340,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=39.14 ACRES,,0.0,,,18.0,5.0,N,3.0,E,11,1805N03ECM,SW,1805N03ECM SW,SWSW
21AD4EB0-9296-E011-82A2-00155D28E806,6051D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,40.05,00:00.0,,,G,1443,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 12 miles North and 3 miles East || LOT 4=SW/4 SW/4=40.05 ACRES",,0.0,,,18.0,5.0,N,6.0,E,11,1805N06ECM,SW,1805N06ECM SW,SWSW
22AD4EB0-9296-E011-82A2-00155D28E806,EAE7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,38.58,00:00.0,,,G,187-F,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=38.58 ACRES,,0.0,,,18.0,6.0,N,6.0,E,11,1806N06ECM,SW,1806N06ECM SW,SWSW
23AD4EB0-9296-E011-82A2-00155D28E806,29DAE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.32,00:00.0,,,G,2339,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=39.32 ACRES,,0.0,,,19.0,5.0,N,3.0,E,11,1905N03ECM,SW,1905N03ECM SW,SWSW
24AD4EB0-9296-E011-82A2-00155D28E806,57E8E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,40.0,00:00.0,,,G,1250-A,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=40 ACRES,,0.0,,,19.0,5.0,N,6.0,E,11,1905N06ECM,SW,1905N06ECM SW,SWSW
25AD4EB0-9296-E011-82A2-00155D28E806,61E8E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.04,00:00.0,,,G,187-G,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=39.04 ACRES,,0.0,,,19.0,6.0,N,6.0,E,11,1906N06ECM,SW,1906N06ECM SW,SWSW
