STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,PLSSID,STEWARD,TWNSHPLAB,FRSTDIVID,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVID,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVSUF,SECDIVNOTE,SECDIVLAB,SURVID,SURVTYP,SURVTYPTXT,SRVNAME,SURVNO,SURVSUF,SURVNOTE,SURVDIV,SURVLAB,QSEC,QQSEC,GOVLOT,SOURCEREF,SOURCEDATE,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),geometry
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN040,SN,Section,04,0,04,SD051250N0560W0SN040ASESW,A,Aliquot Part,SESW,,,SESW,,,,,,,,,,SW,SESW,,,,40 Acres,40.0,40.02579583,1417737600000,{0DD7C516-2D6A-469F-ABD2-218839938CE2},1130963,331732.6640625,2303.852258781766,"[[-10859924.6732, 5726035.035400003], [-10860500.5526, 5726035.721000001], [-10860501.0601, 5726611.8169], [-10859925.2889, 5726611.139799997], [-10859924.6732, 5726035.035400003]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN050,SN,Section,05,0,05,SD051250N0560W0SN050ASWSE,A,Aliquot Part,SWSE,,,SWSE,,,,,,,,,,SE,SWSE,,,,40 Acres,40.0,39.90185492,1417737600000,{09431572-430E-41A3-95BD-FA6A2EBF5E7B},1130960,330707.85546875,2300.2981915928426,"[[-10861650.3046, 5726037.3138], [-10862224.1772, 5726038.225299999], [-10862225.4392, 5726614.272600003], [-10861651.1337, 5726613.383199997], [-10861650.3046, 5726037.3138]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN050,SN,Section,05,0,05,SD051250N0560W0SN050ASESE,A,Aliquot Part,SESE,,,SESE,,,,,,,,,,SE,SESE,,,,40 Acres,40.0,39.90203688,1417737600000,{7634D090-A5F7-4382-B433-F42689F3FFB8},1130961,330708.56640625,2300.29819615141,"[[-10861076.432, 5726036.406900004], [-10861650.3046, 5726037.3138], [-10861651.1337, 5726613.383199997], [-10861076.8312, 5726612.458400004], [-10861076.432, 5726036.406900004]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN040,SN,Section,04,0,04,SD051250N0560W0SN040ASWSE,A,Aliquot Part,SWSE,,,SWSE,,,,,,,,,,SE,SWSE,,,,40 Acres,40.0,40.0250842,1417737600000,{333B5F2E-5146-46BB-A608-7FBDCD945E97},1130964,331725.99609375,2303.829733549331,"[[-10859348.7969, 5726034.349699996], [-10859924.6732, 5726035.035400003], [-10859925.2889, 5726611.139799997], [-10859349.5547, 5726610.462899998], [-10859348.7969, 5726034.349699996]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN040,SN,Section,04,0,04,SD051250N0560W0SN040ASESE,A,Aliquot Part,SESE,,,SESE,,,,,,,,,,SE,SESE,,,,40 Acres,40.0,40.02461069,1417737600000,{51C57555-106F-457D-B1F2-EF1CAF46EF06},1130965,331721.34375,2303.814356411011,"[[-10858772.9173, 5726033.663800001], [-10859348.7969, 5726034.349699996], [-10859349.5547, 5726610.462899998], [-10858773.8175, 5726609.746100001], [-10858772.9173, 5726033.663800001]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN030,SN,Section,03,0,03,SD051250N0560W0SN030ASWSE,A,Aliquot Part,SWSE,,,SWSE,,,,,,,,,,SE,SWSE,,,,40 Acres,40.0,39.95925122,1417737600000,{B6207557-D86C-4ED9-8F41-0D1D12728914},1130968,331177.265625,2301.923774155632,"[[-10857047.4065, 5726032.062299997], [-10857622.5779, 5726032.597499996], [-10857623.345, 5726608.4586], [-10857048.1922, 5726607.799099997], [-10857047.4065, 5726032.062299997]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN030,SN,Section,03,0,03,SD051250N0560W0SN030ASWSW,A,Aliquot Part,SWSW,,,SWSW,,,,,,,,,,SW,SWSW,,,,40 Acres,40.0,39.97838842,1417737600000,{930721A3-4851-4416-9E9F-3CDD50EFE5FE},1130966,331337.41796875,2302.48089198709,"[[-10858197.7461, 5726033.133000001], [-10858772.9173, 5726033.663800001], [-10858773.8175, 5726609.746100001], [-10858198.5812, 5726609.122199997], [-10858197.7461, 5726033.133000001]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN040,SN,Section,04,0,04,SD051250N0560W0SN040ASWSW,A,Aliquot Part,SWSW,,,SWSW,,,,,,,,,,SW,SWSW,,,,40 Acres,40.0,40.02386741,1417737600000,{FA02F947-2A27-497C-8BAE-A8574C6642B0},1130962,331717.484375,2303.7990276919522,"[[-10860500.5526, 5726035.721000001], [-10861076.432, 5726036.406900004], [-10861076.8312, 5726612.458400004], [-10860501.0601, 5726611.8169], [-10860500.5526, 5726035.721000001]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN030,SN,Section,03,0,03,SD051250N0560W0SN030ASESE,A,Aliquot Part,SESE,,,SESE,,,,,,,,,,SE,SESE,,,,40 Acres,40.0,39.94924989,1417737600000,{2C9D764B-4B24-4DB9-9DD0-9A8E65A6B8A5},1130969,331093.49609375,2301.632667963168,"[[-10856472.2382, 5726031.526900001], [-10857047.4065, 5726032.062299997], [-10857048.1922, 5726607.799099997], [-10856473.0395, 5726607.1000000015], [-10856472.2382, 5726031.526900001]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN010,SN,Section,01,0,01,SD051250N0560W0SN010ASESW,A,Aliquot Part,SESW,,,SESW,,,,,,,,,,SW,SESW,,,,40 Acres,40.0,39.94860035,1417737600000,{481AF3BE-EE41-4E21-B6E6-8ECDD103B61A},1130974,331083.4921875,2301.5968495884385,"[[-10853603.2085, 5726030.350900002], [-10853603.2459, 5726606.640600003], [-10853028.7273, 5726606.891500004], [-10853028.6436, 5726030.667999998], [-10853603.2085, 5726030.350900002]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN010,SN,Section,01,0,01,SD051250N0560W0SN010ASESE,A,Aliquot Part,SESE,,,SESE,,,,,,,,,,SE,SESE,,,,40 Acres,40.0,39.93685341,1417737600000,{45C8430E-8D7C-444E-9C6B-5760D6E13F1E},1130970,330984.69921875,2301.253016188418,"[[-10852454.0816, 5726030.980499998], [-10852454.2613, 5726607.142200001], [-10851879.792, 5726607.353100002], [-10851879.5197, 5726031.293200001], [-10852454.0816, 5726030.980499998]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN010,SN,Section,01,0,01,SD051250N0560W0SN010ASWSE,A,Aliquot Part,SWSE,,,SWSE,,,,,,,,,,SE,SWSE,,,,40 Acres,40.0,39.94232045,1417737600000,{7DC3316D-F4C7-4822-9C3F-019E23B79DDA},1130972,331030.75390625,2301.41337379865,"[[-10853028.6436, 5726030.667999998], [-10853028.7273, 5726606.891500004], [-10852454.2613, 5726607.142200001], [-10852454.0816, 5726030.980499998], [-10853028.6436, 5726030.667999998]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN050,SN,Section,05,0,05,SD051250N0560W0SN050ASESW,A,Aliquot Part,SESW,,,SESW,,,,,,,,,,SW,SESW,,,,40 Acres,40.0,39.90409211,1417737600000,{2C50213D-7B9C-4259-98CA-B7D84D7508AE},1130959,330727.1796875,2300.3689094241145,"[[-10862224.1772, 5726038.225299999], [-10862798.0498, 5726039.132200003], [-10862799.8529, 5726615.161899999], [-10862225.4392, 5726614.272600003], [-10862224.1772, 5726038.225299999]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN030,SN,Section,03,0,03,SD051250N0560W0SN030ASESW,A,Aliquot Part,SESW,,,SESW,,,,,,,,,,SW,SESW,,,,40 Acres,40.0,39.97070339,1417737600000,{02FBF86B-1133-4C0B-92BF-6F329238EAAE},1130967,331272.9296875,2302.2564483597876,"[[-10857622.5779, 5726032.597499996], [-10858197.7461, 5726033.133000001], [-10858198.5812, 5726609.122199997], [-10857623.345, 5726608.4586], [-10857622.5779, 5726032.597499996]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN020,SN,Section,02,0,02,SD051250N0560W0SN020ASESW,A,Aliquot Part,SESW,,,SESW,,,,,,,,,,SW,SESW,,,,40 Acres,40.0,39.86595605,1417737600000,{39BF86FC-E3DF-4795-8BB6-1F1AED869B72},1130973,330401.640625,2299.228060461735,"[[-10855325.0002, 5726030.7880000025], [-10855898.6192, 5726031.155299999], [-10855899.204, 5726606.949500002], [-10855325.3655, 5726606.763800003], [-10855325.0002, 5726030.7880000025]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN020,SN,Section,02,0,02,SD051250N0560W0SN020ASWSE,A,Aliquot Part,SWSE,,,SWSE,,,,,,,,,,SE,SWSE,,,,40 Acres,40.0,39.87748945,1417737600000,{BEF211F6-C0EB-48C4-9D72-81EE7D9551E2},1130975,330496.47265625,2299.5582935170696,"[[-10854751.3843, 5726030.416199997], [-10855325.0002, 5726030.7880000025], [-10855325.3655, 5726606.763800003], [-10854751.5609, 5726606.5779], [-10854751.3843, 5726030.416199997]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN020,SN,Section,02,0,02,SD051250N0560W0SN020ASWSW,A,Aliquot Part,SWSW,,,SWSW,,,,,,,,,,SW,SWSW,,,,40 Acres,40.0,39.85181659,1417737600000,{CA6EF42D-A64F-4C65-A06A-5DB9BD30E789},1130971,330285.21875,2298.8227948519616,"[[-10855898.6192, 5726031.155299999], [-10856472.2382, 5726031.526900001], [-10856473.0395, 5726607.1000000015], [-10855899.204, 5726606.949500002], [-10855898.6192, 5726031.155299999]]"
