,Column1,Column2,Column3,Column4,Column42,Column43,Column8,FIXED PLSS ID,Column9,Column5,Column6,Column7
135,1110N0,690W0,SN20,SW4                                                         ,SW4,ASW,1110N0690W0SN20ASW,1110N0690W0SN20ASESW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
136,1140N0,700W0,SN06, SE4NW                                           ,SE4NW,ASENW,1140N0700W0SN06ASENW,1140N0700W0SN06ASENW,1140N0700W0SN06ASENW,136.1,Hand,SOUTH DAKOTA STATE UNIVERSITY
137,1160N0,670W0,SN02,SE4,SE4,ASE,1160N0670W0SN02ASE,1160N0670W0SN02ANWSE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
138,1160N0,670W0,SN02,SE4,SE4,ASE,1160N0670W0SN02ASE,1160N0670W0SN02ANESE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
139,1160N0,670W0,SN02,SE4,SE4,ASE,1160N0670W0SN02ASE,1160N0670W0SN02ASWSE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
140,1160N0,670W0,SN02,SE4,SE4,ASE,1160N0670W0SN02ASE,1160N0670W0SN02ASESE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
141,1160N0,670W0,SN12,N2NE,N2NE,AN½NE,1160N0670W0SN12AN½NE,1160N0670W0SN12ANWNE,,120.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
142,1160N0,670W0,SN12,N2NE,N2NE,AN½NE,1160N0670W0SN12AN½NE,1160N0670W0SN12ANENE,,120.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
143,1160N0,670W0,SN12, SE4NE,SE4NE,ASENE,1160N0670W0SN12ASENE,1160N0670W0SN12ASENE,1160N0670W0SN12ASENE,120.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
144,1160N0,670W0,SN12,SW4NE,SW4NE,ASWNE,1160N0670W0SN12ASWNE,1160N0670W0SN12ASWNE,1160N0670W0SN12ASWNE,40.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
145,0170N0,020E0,SN06, S2NE,S2NE,AS½NE,0170N0020E0SN06AS½NE,0170N0020E0SN06ASWNE,,640.48,Harding,SOUTH DAKOTA STATE UNIVERSITY
146,0170N0,020E0,SN06, S2NE,S2NE,AS½NE,0170N0020E0SN06AS½NE,0170N0020E0SN06ASENE,,640.48,Harding,SOUTH DAKOTA STATE UNIVERSITY
147,0170N0,020E0,SN06, SE4N,SE4N,ASEN,0170N0020E0SN06ASEN,0170N0020E0SN06ASEN,,640.48,Harding,SOUTH DAKOTA STATE UNIVERSITY
148,0170N0,020E0,SN07, E2NW,E2NW,AE½NW,0170N0020E0SN07AE½NW,0170N0020E0SN07ANENW,,320.4,Harding,SOUTH DAKOTA STATE UNIVERSITY
149,0170N0,020E0,SN07, E2NW,E2NW,AE½NW,0170N0020E0SN07AE½NW,0170N0020E0SN07ASENW,,320.4,Harding,SOUTH DAKOTA STATE UNIVERSITY
