HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescriptionOLD,,,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ,Legal_Description,SEARCH_ID
F9F179AF-9F96-E011-82A2-00155D28E806,7250D821-E47B-E011-9CF3-00155D960C0A,5,1,13,SW,LT 3 SEC 10-6N-3ECM,LT 3 ,L3 ,0,22.95,59:11.4,,,,,511129,IMPORT,02:27.1,Dwelch,30:16.4,"From Square in Boise City, 14 miles North and 18 miles West",,0,,,10,6,N,3,E,11,1006N03ECM,SW,1006N03ECM SW,3,116N3E10L3 
FAF179AF-9F96-E011-82A2-00155D28E806,7450D821-E47B-E011-9CF3-00155D960C0A,5,1,13,NW,LT 4 SEC 10-6N-3ECM,LT 4 ,L4 ,0,22.85,59:11.4,,,,,511129,IMPORT,02:27.1,LLocke,43:28.5,"From Square in Boise City, 14 miles North and 18 miles West",,0,,,10,6,N,3,E,11,1006N03ECM,SW,1006N03ECM SW,4,116N3E10L4 
B9F279AF-9F96-E011-82A2-00155D28E806,B551D821-E47B-E011-9CF3-00155D960C0A,5,1,13,,LT 2 SEC 11-6N-6ECM,LT 2 ,L2 ,0,8.7,59:11.4,,,,,511396,IMPORT,02:28.4,Dwelch,17:33.9,"From square in Boise City, 14 miles North and 6 miles East to SW part of lease",,0,,,15,6,N,6,E,11,1506N06ECM,NE,1506N06ECM NE,2,116N6E15L2 
28F379AF-9F96-E011-82A2-00155D28E806,5052D821-E47B-E011-9CF3-00155D960C0A,5,1,4,WSW,LT 4 SEC 13-1N-28ECM,LT 4 S,L4,0,13.94,59:11.4,00:00.0,00:00.0,,,511508,IMPORT,02:29.3,TLangley,52:42.2,"From Slapout, 6 miles East and 5 miles South to NW corner of property",,0,,,13,1,N,28,E,11,1301N28ECM,SW,1301N28ECM SW,4,111N28E13L4
83F379AF-9F96-E011-82A2-00155D28E806,C552D821-E47B-E011-9CF3-00155D960C0A,5,1,13,,LT 1 SEC 6-2N-1ECM,LT 1,L1,0,40.28,59:11.4,,,,,511550,IMPORT,02:30.2,Dwelch,38:57.3,"From Wheeless, 5 miles West and 3 miles South to NE corner of lease",,0,,,6,2,N,1,E,11,0602N01ECM,NE,0602N01ECM NE,1,112N1E6L1
87F379AF-9F96-E011-82A2-00155D28E806,CB52D821-E47B-E011-9CF3-00155D960C0A,5,1,13,NW,LT 3 SEC 6-2N-1ECM,LT 3,L3,0,40.12,59:11.4,,,,,511550,IMPORT,02:30.3,Dwelch,32:59.4,"From Wheeless, 5 miles West and 3 miles South to NE corner of lease",,0,,,6,2,N,1,E,11,0602N01ECM,NW,0602N01ECM NW,3,112N1E6L3
8BF379AF-9F96-E011-82A2-00155D28E806,D152D821-E47B-E011-9CF3-00155D960C0A,5,1,77,S,S/2SE/4 SEC 25-25N-18WIM,S/2SE/4 SE,S/2SE/4,0,80,59:11.4,00:00.0,00:00.0,,,511554,IMPORT,02:30.3,TLangley,54:16.9,"From Mooreland, 10 miles North, 4 miles East, 1 mile North, 1 1/2 miles East and 1 mile Northeast to isolated and poorly accessible tract",,0,,,25,25,N,18,W,17,2525N18WIM,SE,2525N18WIM SE,SWSE,1725N18W25SWSE
8BF379AF-9F96-E011-82A2-00155D28E806,D152D821-E47B-E011-9CF3-00155D960C0A,5,1,77,S,S/2SE/4 SEC 25-25N-18WIM,S/2SE/4 SE,S/2SE/4,0,80,59:11.4,00:00.0,00:00.0,,,511554,IMPORT,02:30.3,TLangley,54:16.9,"From Mooreland, 10 miles North, 4 miles East, 1 mile North, 1 1/2 miles East and 1 mile Northeast to isolated and poorly accessible tract",,0,,,25,25,N,18,W,17,2525N18WIM,SE,2525N18WIM SE,SESE,1725N18W25SESE
F7E1D94F-E118-E411-9F9D-00155D28EA07,,5,1,23,NE,LT 4 SEC 35-20N-23WIM,LT 4 SE,L4,0,0,00:00.0,00:00.0,00:00.0,,,511032,LLocke,34:31.5,TLangley,51:44.9,"From Arnett intersection of Hwys 51 & 283, 7 miles East, 5-1/2 miles South, 1 mile East, 1 mile South and 1-1/2 miles East to SW corner of SE/4 of Sec 7",,0,,,35,20,N,23,W,17,3520N23WIM,SE,3520N23WIM SE,4,1720N23W35L4
45668186-9315-E311-9FDA-00155D28EA07,,5,1,13,N,N/2NE/4 SEC 22-4N-1ECM,N/2NE/4 ,N/2NE/4 ,0,0,00:00.0,00:00.0,,,,511065,JPope,55:12.3,Dwelch,10:06.9,,,0,,,22,4,N,1,E,11,2204N01ECM,NE,2204N01ECM NE,NWNE,114N1E22NWNE
