HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ,Legal_Description
0EAC4EB0-9296-E011-82A2-00155D28E806,F8D7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40,00:00.0,,,G,1558-G,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,,0,,,15,5,N,3,E,11,1505N03ECM,NW,1505N03ECM NW,SWNW
0FAC4EB0-9296-E011-82A2-00155D28E806,3E51D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40,00:00.0,,,G,1555-C,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 12 miles North and 5 miles East || ",,0,,,15,5,N,6,E,11,1505N06ECM,NW,1505N06ECM NW,SWNW
10AC4EB0-9296-E011-82A2-00155D28E806,7450D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40,00:00.0,,,G,1275-A,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 14 miles North and 18 miles West || ",,0,,,15,6,N,3,E,11,1506N03ECM,NW,1506N03ECM NW,SWNW
11AC4EB0-9296-E011-82A2-00155D28E806,51E6E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40,00:00.0,,,G,187-E,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,,0,,,15,6,N,6,E,11,1506N06ECM,NW,1506N06ECM NW,SWNW
12AC4EB0-9296-E011-82A2-00155D28E806,80E7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40,00:00.0,,,G,1558-I,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,,0,,,17,5,N,3,E,11,1705N03ECM,NW,1705N03ECM NW,SWNW
13AC4EB0-9296-E011-82A2-00155D28E806,81E7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40,00:00.0,,,G,282-B,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,,0,,,17,5,N,6,E,11,1705N06ECM,NW,1705N06ECM NW,SWNW
14AC4EB0-9296-E011-82A2-00155D28E806,8BE7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40,00:00.0,,,G,159-B,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,,0,,,17,6,N,6,E,11,1706N06ECM,NW,1706N06ECM NW,SWNW
15AC4EB0-9296-E011-82A2-00155D28E806,BBD9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,39.29,00:00.0,,,G,2340,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=SW/4 NW/4=39.29 ACRES,,0,,,18,5,N,3,E,11,1805N03ECM,NW,1805N03ECM NW,SWNW
16AC4EB0-9296-E011-82A2-00155D28E806,E1E7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,40.01,00:00.0,,,G,1443,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=SW/4 NW/4=40.01 ACRES,,0,,,18,5,N,6,E,11,1805N06ECM,NW,1805N06ECM NW,SWNW
17AC4EB0-9296-E011-82A2-00155D28E806,CAD9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWNW,1,38.36,00:00.0,,,G,187-F,,ADMIN,29:19.8,Sfleming,02:30.9,Imported Location || LOT 2=SW/4 NW/4=38.36 ACRES,,0,,,18,6,N,6,E,11,1806N06ECM,NW,1806N06ECM NW,SWNW
