HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ
C4A14EB0-9296-E011-82A2-00155D28E806,58E9E139-087C-E011-9CF3-00155D960C0A,5,4,1,SE,E/2 SE/4 SE/4,0.5,20,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,21,14,N,24,E,I,2114N24EIM,SE,2114N24EIM SE
C5A14EB0-9296-E011-82A2-00155D28E806,85DDE139-087C-E011-9CF3-00155D960C0A,5,4,1,SE,W/2 SE/4 SE/4,0.5,20,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,27,19,N,25,E,I,2719N25EIM,SE,2719N25EIM SE
C6A14EB0-9296-E011-82A2-00155D28E806,BAE9E139-087C-E011-9CF3-00155D960C0A,5,4,1,SE,W/2 SE/4 SW/4,0.5,20,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,22,14,N,24,E,I,2214N24EIM,SW,2214N24EIM SW
C7A14EB0-9296-E011-82A2-00155D28E806,7CDDE139-087C-E011-9CF3-00155D960C0A,5,4,1,SW,"SW/4 NW/4, LESS 1.67 ACRES FOR RR ROW",0.5,38.33,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,27,14,N,24,E,I,2714N24EIM,NW,2714N24EIM NW
C8A14EB0-9296-E011-82A2-00155D28E806,85DDE139-087C-E011-9CF3-00155D960C0A,5,4,1,SW,SW/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,27,19,N,25,E,I,2719N25EIM,SE,2719N25EIM SE
C9A14EB0-9296-E011-82A2-00155D28E806,BAE9E139-087C-E011-9CF3-00155D960C0A,5,4,1,SW,"SW/4 SW/4, LESS 3.56 ACRES FOR RR ROW",0.5,36.44,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,Sfleming,16:29.9,Imported Location || ,NULL,0,NULL,NULL,22,14,N,24,E,I,2214N24EIM,SW,2214N24EIM SW
53A94EB0-9296-E011-82A2-00155D28E806,DADDE139-087C-E011-9CF3-00155D960C0A,5,4,5,NE,NE/4 NE/4,0.5,40,00:00.0,NULL,NULL,G,959-C,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,28,8,N,24,W,I,2808N24WIM,NE,2808N24WIM NE
54A94EB0-9296-E011-82A2-00155D28E806,E652D821-E47B-E011-9CF3-00155D960C0A,5,4,5,NE,NE/4 NW/4,1,40,00:00.0,NULL,NULL,G,263,,ADMIN,29:19.8,ADMIN,29:19.8,"From Texola, 2 1/2 miles East and 8 miles South to NW corner of property || ",NULL,0,NULL,NULL,10,7,N,26,W,I,1007N26WIM,NW,1007N26WIM NW
55A94EB0-9296-E011-82A2-00155D28E806,BADEE139-087C-E011-9CF3-00155D960C0A,5,4,5,NE,NE/4 SE/4,0.5,40,00:00.0,NULL,NULL,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,30,8,N,24,W,I,3008N24WIM,SE,3008N24WIM SE
56A94EB0-9296-E011-82A2-00155D28E806,DADDE139-087C-E011-9CF3-00155D960C0A,5,4,5,NW,NW/4 NE/4,0.5,40,00:00.0,NULL,NULL,G,959-C,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,28,8,N,24,W,I,2808N24WIM,NE,2808N24WIM NE
57A94EB0-9296-E011-82A2-00155D28E806,E652D821-E47B-E011-9CF3-00155D960C0A,5,4,5,NW,NW/4 NW/4,1,40,00:00.0,NULL,NULL,G,263,,ADMIN,29:19.8,ADMIN,29:19.8,"From Texola, 2 1/2 miles East and 8 miles South to NW corner of property || ",NULL,0,NULL,NULL,10,7,N,26,W,I,1007N26WIM,NW,1007N26WIM NW
58A94EB0-9296-E011-82A2-00155D28E806,E652D821-E47B-E011-9CF3-00155D960C0A,5,4,5,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,263,,ADMIN,29:19.8,ADMIN,29:19.8,"From Texola, 2 1/2 miles East and 8 miles South to NW corner of property || ",NULL,0,NULL,NULL,10,7,N,26,W,I,1007N26WIM,NW,1007N26WIM NW
59A94EB0-9296-E011-82A2-00155D28E806,F3ECE139-087C-E011-9CF3-00155D960C0A,5,4,5,SW,LOT 2 A/K/A SW/4 NW/4,0.5,37.4,00:00.0,NULL,NULL,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=SW/4 NW/4=37.40 ACRES,NULL,0,NULL,NULL,30,8,N,24,W,I,3008N24WIM,NW,3008N24WIM NW
FBA94EB0-9296-E011-82A2-00155D28E806,98D6E139-087C-E011-9CF3-00155D960C0A,5,4,6,NW,NW/4 NW/4,0.5,40.3025,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,25:09.5,Imported Location || ,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,NW,1213N13WIM NW
