,state,university,rights_type,activity,acres,gis_acres,trust_name,managing_agency,township,range,section,aliquot,data_source,geometry
142,MT,Montana State University,surface,,633.7,0.0,MSU 2nd Grant,Department of Natural Resources,32N,22W,18,,,"POLYGON ((-114.43913304235606 48.54465355276689, -114.44382452767063 48.544659542124414, -114.44458230455345 48.544658559405335, -114.44462076546955 48.54466035018094, -114.44795592692086 48.54466337380446, -114.44801874962236 48.54466343183579, -114.44844280826067 48.54466381523486, -114.44850915633123 48.54466387543712, -114.44988708727425 48.544665109375, -114.449964032793 48.54466521468578, -114.45003153888278 48.544663538149244, -114.45010956434959 48.54466537534133, -114.4510091425433 48.54466613406623, -114.45109453373225 48.544666209961655, -114.45327838430968 48.54466829709121, -114.45338122144103 48.54466839307867, -114.45405919622908 48.54466901948674, -114.45416824026329 48.544669124158325, -114.4554800513859 48.544668656093556, -114.4555978474463 48.54467047599347, -114.45640647126378 48.54467117018053, -114.45653505156771 48.544671279007666, -114.46032990517466 48.54467487743503, -114.46049481004412 48.54467502972383, -114.4605434623254 48.54467506127945, -114.46071058389937 48.544673579598175, -114.4607096286842 48.54334498497488, -114.46070999471088 48.54105238618984, -114.46070985233123 48.5401316113393, -114.46071133321523 48.537990982492666, -114.46070946007833 48.53760207077112, -114.46070943349724 48.53743119215223, -114.46070884200505 48.53380997021027, -114.46070860046883 48.53226256841105, -114.46070828122699 48.53018877639506, -114.45857721001101 48.530190208399866, -114.45830352919307 48.530190185253396, -114.45824214512858 48.530190179221115, -114.45582812000427 48.53018993971418, -114.45546483607966 48.53018826810969, -114.45336202438759 48.53018975973207, -114.45001705003024 48.53018776038094, -114.4497184576291 48.530189402483664, -114.44620298005697 48.53018873118439, -114.4452030662406 48.53018851366776, -114.44456768002802 48.530186668218825, -114.4440955365161 48.530188288160275, -114.44038442762586 48.5301875415202, -114.43911833710872 48.53018554934612, -114.43911798938612 48.53059474043155, -114.43911849642848 48.531090416302185, -114.43911865509986 48.531246830329, -114.43911884532436 48.53143188166691, -114.43911909833352 48.53167940000136, -114.43911973953156 48.53230486713456, -114.43912200539734 48.53380255075539, -114.43912474718867 48.537188732989, -114.43912487136845 48.537394114120794, -114.43912570335218 48.53741955063521, -114.4391251440859 48.53744776919014, -114.43912611285502 48.538356533018074, -114.4391269091395 48.53911350549083, -114.43912937301866 48.541036553203604, -114.43913304235606 48.54465355276689))"
143,MT,Montana State University,surface,,634.7,0.0,MSU 2nd Grant,Department of Natural Resources,32N,22W,19,,,"POLYGON ((-114.43911833710872 48.53018554934612, -114.44038442762586 48.5301875415202, -114.4440955365161 48.530188288160275, -114.44456768002802 48.530186668218825, -114.4452030662406 48.53018851366776, -114.44620298005697 48.53018873118439, -114.4497184576291 48.530189402483664, -114.45001705003024 48.53018776038094, -114.45336202438759 48.53018975973207, -114.45546483607966 48.53018826810969, -114.45582812000427 48.53018993971418, -114.45824214512858 48.530190179221115, -114.45830352919307 48.530190185253396, -114.45857721001101 48.530190208399866, -114.46070828122699 48.53018877639506, -114.4607075798373 48.52970599583947, -114.46070756156999 48.529452745110234, -114.46070739807864 48.52699796310722, -114.46070797013833 48.5265686109682, -114.46070768689236 48.52294844407851, -114.46070706578372 48.52282269884968, -114.46070698809538 48.5218866295732, -114.46070740057458 48.51932827884567, -114.4607065193689 48.516755448273976, -114.46070711755314 48.51570813935185, -114.45545214516433 48.51570846424545, -114.45167092956113 48.51571026835458, -114.45000069737895 48.51570876039586, -114.44996120032243 48.51571017038674, -114.44808495958222 48.51570982161093, -114.44680304696229 48.51570946232149, -114.4454615873919 48.5157090702617, -114.44454260906923 48.515707223947985, -114.4438217203185 48.515708567049515, -114.44253817915994 48.51570828294854, -114.44234081171312 48.51570826796524, -114.44167659961458 48.515708095764005, -114.44121903777135 48.51570797376588, -114.44071329137577 48.51570783595021, -114.4390845191536 48.51570568545487, -114.43908768091813 48.51738649035105, -114.4390929676709 48.519325658996834, -114.43909497091411 48.520490186518394, -114.43910144254293 48.52294563212215, -114.4391098894583 48.5265656043901, -114.4391113431311 48.52750023497328, -114.43911140852695 48.527528671765474, -114.4391123259923 48.52792395214206, -114.43911247518649 48.52798782801663, -114.43911257170899 48.52802902495883, -114.439113374121 48.52837507669757, -114.43911346584862 48.52841453883437, -114.4391140631704 48.52867164652224, -114.43911670875731 48.5298090427044, -114.43911833710872 48.53018554934612))"
144,MT,Montana State University,surface,,635.8,0.0,MSU 2nd Grant,Department of Natural Resources,32N,22W,30,,,"POLYGON ((-114.43906984545833 48.50483899052981, -114.43906896398714 48.50564930887577, -114.43907473697662 48.50846121214843, -114.43907657425973 48.510754511299425, -114.43907779247849 48.51159321618954, -114.43907962870573 48.51208346330254, -114.43907932786342 48.51263963760816, -114.439080799648 48.51364736165638, -114.43908144201414 48.51409147174248, -114.4390845191536 48.51570568545487, -114.44071329137577 48.51570783595021, -114.44121903777135 48.51570797376588, -114.44167659961458 48.515708095764005, -114.44234081171312 48.51570826796524, -114.44253817915994 48.51570828294854, -114.4438217203185 48.515708567049515, -114.44454260906923 48.515707223947985, -114.4454615873919 48.5157090702617, -114.44680304696229 48.51570946232149, -114.44808495958222 48.51570982161093, -114.44996120032243 48.51571017038674, -114.45000069737895 48.51570876039586, -114.45167092956113 48.51571026835458, -114.45545214516433 48.51570846424545, -114.46070711755314 48.51570813935185, -114.4607058600267 48.512088056899, -114.46070460601685 48.50846800111304, -114.4607033489855 48.50484794614603, -114.46070209298568 48.50122789184202, -114.45821698565094 48.50122839124889, -114.45674898034991 48.50122769196822, -114.45544073597218 48.50122540848174, -114.45154293056908 48.50122524722819, -114.45009872459599 48.50122454551871, -114.44998823507747 48.501222843270135, -114.44452659439938 48.501219805900774, -114.44448707243474 48.501221494079346, -114.44320648627857 48.50122078094565, -114.44310350396819 48.50122072814962, -114.44212509227194 48.50122021057672, -114.44208557600199 48.50122018971654, -114.44172644632249 48.501219997100975, -114.44168560218813 48.50121997507329, -114.44159927530181 48.50121992833188, -114.44155800259021 48.50121990622679, -114.43911796629797 48.501218489275125, -114.43906495248851 48.5012167381436, -114.43906351387275 48.501437525387644, -114.43906984545833 48.50483899052981))"
145,MT,Montana State University,surface,,638.0,0.0,MSU 2nd Grant,Department of Natural Resources,32N,22W,31,,,"POLYGON ((-114.43906495248851 48.5012167381436, -114.43911796629797 48.501218489275125, -114.44155800259021 48.50121990622679, -114.44159927530181 48.50121992833188, -114.44168560218813 48.50121997507329, -114.44172644632249 48.501219997100975, -114.44208557600199 48.50122018971654, -114.44212509227194 48.50122021057672, -114.44310350396819 48.50122072814962, -114.44320648627857 48.50122078094565, -114.44448707243474 48.501221494079346, -114.44452659439938 48.501219805900774, -114.44998823507747 48.501222843270135, -114.45009872459599 48.50122454551871, -114.45154293056908 48.50122524722819, -114.45544073597218 48.50122540848174, -114.45674898034991 48.50122769196822, -114.45821698565094 48.50122839124889, -114.46070209298568 48.50122789184202, -114.46070148777818 48.501074807832545, -114.46070094519625 48.497608236592924, -114.46069986659481 48.49398861431668, -114.46069878621323 48.490368991966, -114.46069767957222 48.48674936878509, -114.45541781922907 48.486737940316246, -114.44993228571713 48.48672495604239, -114.44934656606588 48.48672624832858, -114.44813653355152 48.48672570967549, -114.44444672412897 48.486722471383125, -114.44410071983086 48.486723849579995, -114.43896116308433 48.48671998821369, -114.43896298832318 48.48697532599536, -114.43896335368409 48.487009506755726, -114.43896813982647 48.487682109845366, -114.43897090713081 48.48807202726063, -114.4389870793776 48.490344168025224, -114.43899388350728 48.49134592839958, -114.43899416806484 48.491386809251345, -114.43901302700256 48.493968374446645, -114.43902114577419 48.49524071910714, -114.43903896961044 48.49759255310696, -114.43904506703463 48.498669542456135, -114.43905154158713 48.499589024286735, -114.43905398773788 48.49993549098291, -114.43906285832108 48.50114086791652, -114.4390635160001 48.50119131291223, -114.43906495248851 48.5012167381436))"
146,MT,Montana State University,surface,,159.5,0.0,MSU 2nd Grant,Department of Natural Resources,33N,22W,30,,,"POLYGON ((-114.48621592462729 48.59515114320856, -114.48832923820784 48.595150379404586, -114.49167172581554 48.59514492273772, -114.49389770820635 48.59514390269242, -114.49500646997812 48.59514259800645, -114.49618650688987 48.59514119950105, -114.49708386073414 48.59513853672689, -114.49708057053311 48.591518622318745, -114.49707863930949 48.590073446662515, -114.49707728171502 48.58789873705776, -114.49502055964012 48.587901817704115, -114.49480765825841 48.58790197191835, -114.49409346241407 48.58790248707055, -114.49343531570436 48.58790295670374, -114.49242950984338 48.58790366929315, -114.49165520472286 48.587902677972764, -114.48620037439679 48.58790662026398, -114.4862081348616 48.59152889478459, -114.48620807964322 48.59180910401842, -114.48620987233991 48.592646145269136, -114.48621269973214 48.593964818405595, -114.48621359289474 48.5943818483422, -114.48621394530085 48.59454625980807, -114.48621592462729 48.59515114320856))"
147,MT,Montana State University,surface,,638.8,0.0,MSU 2nd Grant,Department of Natural Resources,33N,22W,31,,,"POLYGON ((-114.48620037439679 48.58790662026398, -114.49165520472286 48.587902677972764, -114.49242950984338 48.58790366929315, -114.49343531570436 48.58790295670374, -114.49409346241407 48.58790248707055, -114.49480765825841 48.58790197191835, -114.49502055964012 48.587901817704115, -114.49707728171502 48.58789873705776, -114.49708271413367 48.58428687818818, -114.49708814672154 48.58067504853385, -114.49709271242675 48.57725223742725, -114.49709357656675 48.577063189647994, -114.49709898343977 48.57345133124478, -114.49601855320067 48.573452528894926, -114.49390304888144 48.57345212294528, -114.49327182479121 48.57345062505338, -114.49164729825631 48.57345049357086, -114.49149528457549 48.5734518359614, -114.48781447067456 48.57344945482719, -114.48619522159406 48.57344901687335, -114.48235714645216 48.57344828428277, -114.48074075806282 48.57344798676765, -114.47695523925144 48.573447307430975, -114.47528629409612 48.57344700926413, -114.47528547465096 48.57480062523883, -114.47528543434052 48.57517113346611, -114.4752853637982 48.57581384403522, -114.47528534881502 48.575951476978744, -114.47528588550568 48.57706322966312, -114.47528522796584 48.577270436207385, -114.47528500566541 48.578938306480424, -114.47528545057529 48.58067945069147, -114.47528469640469 48.5815438443507, -114.47528501377725 48.584295644262724, -114.47528433752339 48.58454298325894, -114.47528460615543 48.587911864932096, -114.48074248992992 48.58790925611701, -114.4845395775541 48.58790903594317, -114.48620037439679 48.58790662026398))"
148,MT,Montana State University,surface,,644.5,0.0,MSU 2nd Grant,Department of Natural Resources,33N,23W,28,,,"POLYGON ((-114.57357817516375 48.602392021505786, -114.57513178742639 48.602418638228265, -114.57864385320823 48.60247510746704, -114.57904316500112 48.602480260862656, -114.57947409710526 48.602488487473636, -114.57996851376497 48.60249648369604, -114.58182578113751 48.602526491970735, -114.58385808860953 48.60255928942242, -114.58450815352647 48.60256850236053, -114.58449533363871 48.60013898573982, -114.5844895548897 48.59890173050008, -114.58448352102062 48.59780739098088, -114.58447705227212 48.59653252715206, -114.58447498765118 48.59612532132274, -114.58447095713956 48.59523495970143, -114.58446649302294 48.59444942159141, -114.58446063767072 48.59329379994436, -114.58445243900354 48.591675040916776, -114.5844523860042 48.59156821681299, -114.58443378561418 48.58790144476916, -114.58191377344833 48.58789954682022, -114.5795164783737 48.58789613522104, -114.57896196602478 48.58789390020342, -114.57629274257575 48.587891637303784, -114.57358379192843 48.58788782384129, -114.5734901442845 48.5878863275414, -114.57229512525565 48.587887103371024, -114.57153276754417 48.587886722177075, -114.5689176353478 48.5878853756074, -114.56801835489092 48.587883615159505, -114.56254653243705 48.58788090300577, -114.56254669062633 48.5879899634902, -114.5625517351689 48.58878243403171, -114.56257012936732 48.59150375776305, -114.56257329985425 48.59219938928684, -114.5625756719521 48.59257516211698, -114.56257758036429 48.59287741634449, -114.5625775789913 48.592905212226334, -114.56258675987978 48.594356350040115, -114.56258719022371 48.59440115924714, -114.56259372775801 48.59512661292541, -114.5625966730265 48.59590784267237, -114.56260105754544 48.59660640984145, -114.56261139879516 48.59826315639166, -114.56261735332137 48.59874946737411, -114.56262650507061 48.60049646389591, -114.56264095030402 48.602372292842134, -114.56277890100702 48.602374134993426, -114.56805251351358 48.60238348476976, -114.56811503509697 48.60238217160548, -114.56930489635856 48.60238579690237, -114.56935368858161 48.602385883544834, -114.57341964367353 48.60239331358495, -114.57357817516375 48.602392021505786))"
149,MT,Montana State University,surface,,560.1,0.0,MSU 2nd Grant,Department of Natural Resources,33N,23W,33,,,"POLYGON ((-114.56254653243705 48.58788090300577, -114.56801835489092 48.587883615159505, -114.5689176353478 48.5878853756074, -114.57153276754417 48.587886722177075, -114.57229512525565 48.587887103371024, -114.5734901442845 48.5878863275414, -114.57358379192843 48.58788782384129, -114.57629274257575 48.587891637303784, -114.57896196602478 48.58789390020342, -114.5795164783737 48.58789613522104, -114.58191377344833 48.58789954682022, -114.58443378561418 48.58790144476916, -114.5844285061025 48.58453098576221, -114.58442841179057 48.584275953188765, -114.5844273566484 48.58374100056152, -114.58442444041933 48.58178485961739, -114.58442303553794 48.580650462093644, -114.57896191148076 48.58065280345143, -114.57896425767412 48.57704053297846, -114.57896434706629 48.57633453524185, -114.57896543228254 48.575232759366294, -114.5789666056148 48.57342495752054, -114.57660794142073 48.573427268316806, -114.5758862348555 48.57342748817028, -114.575235723952 48.57342612070971, -114.57380790372426 48.57342810788856, -114.57350631419217 48.57342663318278, -114.57334710905472 48.57342820316164, -114.57164363156262 48.57342827247629, -114.569779376067 48.57342668527334, -114.56804930034365 48.57342697517156, -114.56696986619255 48.5734286894443, -114.56431808407392 48.57342755524934, -114.56263731669922 48.57342928957864, -114.56259228507975 48.573427844596026, -114.56259433712694 48.57467269994989, -114.56259443331933 48.57471869495124, -114.56259587317193 48.575413351175406, -114.56259974411937 48.577048283761386, -114.56260146141922 48.578106811806435, -114.56260722933656 48.580668721347394, -114.56259629552439 48.581914830641225, -114.56257687903697 48.58427479680693, -114.56254653243705 48.58788090300577))"
150,MT,Montana State University,surface,,192.7,0.0,MSU 2nd Grant,Department of Natural Resources,34N,21W,2,,,"POLYGON ((-114.25758116650631 48.73071889405289, -114.25872196782497 48.7306958329627, -114.25889256561561 48.730692191721076, -114.2594995973748 48.730807767903684, -114.26123253565758 48.731137693870764, -114.26314005102674 48.73149959178635, -114.26354824021618 48.73157774117505, -114.26411241059714 48.73168437689098, -114.26419601911077 48.73170018741981, -114.26497689989854 48.73289109287687, -114.26493835162435 48.73364022945521, -114.26490329205717 48.734315946439125, -114.26490156343706 48.73435360958531, -114.26483786783328 48.73559442703432, -114.2649770729058 48.73724408166006, -114.26494910630126 48.737403270706544, -114.2649263223006 48.73753295613703, -114.26472815121983 48.738671051128755, -114.26465863902564 48.73907229775869, -114.26451695795208 48.7394539973964, -114.26387995414068 48.74117968083132, -114.26381794468456 48.74134822870211, -114.26399491923024 48.74247509987719, -114.26408723343006 48.74425682344208, -114.26363741748854 48.74497356417137, -114.26362216960746 48.744996919564066, -114.26384962347664 48.744997752034, -114.26672727150863 48.74499521381984, -114.26688782607836 48.74499507087539, -114.26769859906591 48.744994366525276, -114.26784273521467 48.74499302879505, -114.2681960357925 48.744992691778165, -114.26848201087819 48.744992379065714, -114.26862113868584 48.74439059685318, -114.26898175735582 48.74369515101635, -114.27012314178 48.74174519448555, -114.27036684905066 48.74143276910463, -114.27060890212977 48.74112171627213, -114.27083441980767 48.74083191775965, -114.27120222433145 48.740358064349266, -114.2714157724494 48.73910016945553, -114.27061570273109 48.73731328577312, -114.27060479658 48.73728889096439, -114.2693245950704 48.73442924916965, -114.26863487973331 48.73388691716861, -114.26860339330179 48.73385789707489, -114.26863675832521 48.73384109599607, -114.26863689867798 48.73381565729025, -114.26924192060882 48.733504515479396, -114.27001911367749 48.73312736639235, -114.27165505871965 48.732892236112455, -114.2730009162411 48.73178235897524, -114.27243547804149 48.73066408928346, -114.27163058494813 48.73024879271654, -114.27127086656493 48.73006409121459, -114.2706393054403 48.72973828589986, -114.27059700551465 48.72972646216639, -114.2702545561098 48.72972508340769, -114.26952282960815 48.7297067969947, -114.2695373687944 48.7297303479998, -114.26873691902003 48.7297257709649, -114.26443217470752 48.72989855194024, -114.26422912966451 48.72990880401207, -114.26315713710662 48.72994886777523, -114.26018922307442 48.730069366320166, -114.26008569744937 48.73007253975453, -114.25757738197619 48.73017196709201, -114.25758016796654 48.730690890114566, -114.25758116650631 48.73071889405289))"
151,MT,Montana State University,surface,,641.7,0.0,MSU 2nd Grant,Department of Natural Resources,34N,21W,14,,,"POLYGON ((-114.25737948073645 48.71548016904179, -114.25866060279228 48.71545719574349, -114.25904145967915 48.715449897425, -114.25949300213101 48.71544124334335, -114.25967071324386 48.71543783694955, -114.262955733799 48.7153732969759, -114.26299415688324 48.71537413853154, -114.26639016863164 48.71530908760493, -114.266514880805 48.71530669672248, -114.26724541138351 48.71529269110078, -114.26853198677726 48.71526639645265, -114.2685702136882 48.71526909759635, -114.27003087465651 48.7153089739254, -114.27007301549267 48.71531012722396, -114.27047557604682 48.71532114495516, -114.27051922827755 48.71532234162934, -114.27406377033027 48.71541775172245, -114.27412011974455 48.715420919456236, -114.27535407542814 48.715454653869145, -114.2754154799858 48.71545633547399, -114.27874114409302 48.715547373094275, -114.27881691405402 48.715549445402225, -114.27951603513368 48.71556855052571, -114.27959555272496 48.71556910570166, -114.27960903262411 48.71226947077883, -114.27960973046413 48.71210750105077, -114.27961077209821 48.71191623436905, -114.2796150208049 48.71086287943794, -114.27962596271739 48.70826338992259, -114.27963291596838 48.70659446521174, -114.27963619099361 48.70587453565017, -114.279639082902 48.70519517234687, -114.27963957475681 48.70499631467222, -114.27964118225628 48.70461051868433, -114.27964254203269 48.704283553097234, -114.27964366774538 48.70409962933987, -114.27965535555639 48.70126678551484, -114.27965553556008 48.701222073020475, -114.27965558490061 48.701147127410316, -114.27965637183266 48.70095764647852, -114.27961001195312 48.70095978990949, -114.27609631945757 48.70100014099611, -114.2760576261031 48.70100058464584, -114.27487656076623 48.70101410776525, -114.27415892706072 48.70102242702728, -114.27412053798744 48.7010212096845, -114.27190333130478 48.70104824329053, -114.27074988158874 48.70106148774387, -114.26908747343072 48.701080555418564, -114.2687212879154 48.70108475203827, -114.26862307758003 48.70108590342713, -114.26858468193838 48.70108477466395, -114.26816692359012 48.70109112433684, -114.26798865820807 48.701093173031545, -114.26397508651333 48.701139261792186, -114.26304882112301 48.701148338908595, -114.2604794966139 48.70117944477852, -114.25751298966827 48.70121190374709, -114.25749778728915 48.702791162117286, -114.25747959971487 48.704778969999005, -114.25745973977405 48.70686466321, -114.25744620862183 48.70834603534378, -114.25743341238811 48.70967660685295, -114.2574128438495 48.711913102266294, -114.25741093244933 48.71207743724633, -114.25737968954236 48.71541143904594, -114.25737948073645 48.71548016904179))"
152,MT,Montana State University,surface,,587.9,0.0,MSU 2nd Grant,Department of Natural Resources,34N,21W,15,,,"POLYGON ((-114.27959555272496 48.71556910570166, -114.27967744483821 48.71557015952577, -114.281426886846 48.71555850602079, -114.28149915847109 48.71555802300689, -114.28472044465747 48.71553643953826, -114.28477667183317 48.71553606145429, -114.28501833873294 48.71553450399554, -114.28507316400157 48.715532541659925, -114.2875148784182 48.71551780144215, -114.2875585071478 48.71551750963663, -114.28764253270113 48.71551694873607, -114.2876856049166 48.715516661400216, -114.28817826179609 48.71551337183873, -114.28821902190774 48.71551309956252, -114.29051134148592 48.715497817388545, -114.29055074728987 48.71549597634868, -114.29137673450072 48.715492008387756, -114.29598589608607 48.71546122570319, -114.29602833135422 48.715459411308565, -114.29887246795785 48.715441985392445, -114.30150591613824 48.715422845641314, -114.30150511818663 48.715275611901085, -114.3014985490722 48.71308563896941, -114.3014950162782 48.711735696417726, -114.3014883916426 48.709519374319996, -114.30148555016298 48.70838634487231, -114.30088481655221 48.70806607961804, -114.30080325702791 48.708022663605824, -114.30043498057489 48.706923743061395, -114.30012887220921 48.70609555195666, -114.30013352398939 48.705243005514895, -114.2993117756922 48.70456328410803, -114.2992444653986 48.70443891492002, -114.29880504799011 48.703629371410905, -114.29845920085853 48.702987714031046, -114.29842045480144 48.70296190208621, -114.29784318356336 48.70257558514254, -114.29602432401661 48.70212553347319, -114.29592312576308 48.70210035650675, -114.29602443891005 48.7019768427093, -114.297035591863 48.70080725369815, -114.29602488500187 48.70080914973933, -114.29301698065241 48.70082832046558, -114.29229771813486 48.70083244664064, -114.29215052616462 48.7008332636691, -114.2913701787041 48.70083780842665, -114.29056608276473 48.700840990389516, -114.28955720730883 48.70085329511382, -114.28511122705149 48.70089933088786, -114.28470381535766 48.7009052228436, -114.28405521355725 48.70091218699196, -114.27979497786438 48.70095779508467, -114.27965637183266 48.70095764647852, -114.27965558490061 48.701147127410316, -114.27965553556008 48.701222073020475, -114.27965535555639 48.70126678551484, -114.27964366774538 48.70409962933987, -114.27964254203269 48.704283553097234, -114.27964118225628 48.70461051868433, -114.27963957475681 48.70499631467222, -114.279639082902 48.70519517234687, -114.27963619099361 48.70587453565017, -114.27963291596838 48.70659446521174, -114.27962596271739 48.70826338992259, -114.2796150208049 48.71086287943794, -114.27961077209821 48.71191623436905, -114.27960973046413 48.71210750105077, -114.27960903262411 48.71226947077883, -114.27959555272496 48.71556910570166))"
153,MT,Montana State University,surface,,663.2,0.0,MSU 2nd Grant,Department of Natural Resources,34N,21W,25,,,"POLYGON ((-114.23547532288997 48.68725556091603, -114.23556787624857 48.68725538808803, -114.23563891169512 48.68725416378985, -114.23571750011122 48.68725270159481, -114.24082528823082 48.68716097817637, -114.24100563081494 48.687156245949595, -114.24653591418814 48.687056932982394, -114.25151176967152 48.686969091535, -114.252066194726 48.686957591408806, -114.25260868839251 48.6869494096787, -114.25711822297681 48.68686851132174, -114.2573627249801 48.68686411820404, -114.25759646662996 48.686858276427415, -114.25759914641871 48.68607923107212, -114.25759972464498 48.68594346659373, -114.25760497056363 48.68471282739081, -114.25760952885915 48.68364449919051, -114.25761110399091 48.68327556297935, -114.25761268689286 48.68304862310059, -114.25762120843078 48.68090226297838, -114.25762548650755 48.679896761777535, -114.25762890719129 48.67923894163602, -114.25762885179549 48.67910595391779, -114.2576385338289 48.67683017965377, -114.25764272570133 48.67584530207348, -114.25764512585863 48.67542928798487, -114.25764538333515 48.675219876682625, -114.25765309927841 48.67340223353259, -114.25766134447935 48.671619605332786, -114.25742653628852 48.67163310175485, -114.2571745231318 48.6716458281918, -114.25386531394297 48.671813099196406, -114.25382345869357 48.67181525681839, -114.25217296931197 48.67189708809154, -114.24982039288943 48.67201761877231, -114.24853780210388 48.67208246034239, -114.2469230016374 48.672164075930496, -114.24668458185909 48.67217457012634, -114.2433665768112 48.67234390293154, -114.24119622004864 48.67245204991607, -114.2357078298791 48.67272953233558, -114.23566166771602 48.675573805333734, -114.23565356975786 48.67607996101006, -114.23564968880328 48.6763610456534, -114.23562008204671 48.67817427071742, -114.23561515256327 48.67848114572217, -114.23559926986339 48.67947371168938, -114.23559157615148 48.679992533084764, -114.23558758427745 48.68020398289678, -114.23553359544267 48.68357819325178, -114.23553346263004 48.68362404624859, -114.23549440369194 48.68602693949505, -114.23548034921629 48.686903286021554, -114.23547532288997 48.68725556091603))"
154,MT,Montana State University,surface,,630.5,0.0,MSU 2nd Grant,Department of Natural Resources,34N,21W,29,,,"POLYGON ((-114.32317804785902 48.68675236817066, -114.32351401990344 48.68675695747087, -114.32777381521706 48.68679411748043, -114.32856788917115 48.686801018110025, -114.32860734263178 48.68679983640994, -114.33048983202191 48.68681785703861, -114.33289833011636 48.68683892199086, -114.33399716216579 48.68684848177971, -114.33403661457127 48.68684733165016, -114.33913461698255 48.68689345134395, -114.33946588435573 48.686894798080736, -114.34449396672808 48.686940436003866, -114.34489518194871 48.686942293949315, -114.34489450374153 48.68622258425352, -114.34489450257209 48.68611788602086, -114.34489508444265 48.68333006455798, -114.3448944309937 48.68252493332688, -114.34489437343154 48.680513472367764, -114.3448949865182 48.6797178360904, -114.34489433460433 48.67913873630743, -114.34489428520665 48.67741129875945, -114.34489488817553 48.67610560856138, -114.34489422112695 48.675545550869124, -114.34489479060218 48.67249338013474, -114.34446177586696 48.67249588050436, -114.34215010621037 48.672500369279675, -114.33945030306205 48.67250396709404, -114.33923784014175 48.67250594518764, -114.33572285504881 48.67251278591659, -114.33563675211543 48.672512952538796, -114.33531053919123 48.672513581670785, -114.33443085609704 48.672515273856746, -114.3340058138504 48.672514527765976, -114.33221228924377 48.67251960536781, -114.32856132534174 48.67252511702163, -114.32584655708106 48.67253203745848, -114.3252075218008 48.672533284899025, -114.32359314008376 48.67253641548821, -114.32354434011806 48.672536509723734, -114.32311683892966 48.67253567713078, -114.3231192344261 48.67324472931139, -114.32312490396991 48.67454395808375, -114.32313215493254 48.67608985098895, -114.32313202181294 48.6761659122755, -114.32313955337595 48.677895853795015, -114.32314744235654 48.67964402281387, -114.32316275728199 48.68319819570831, -114.32316394071889 48.68349138733589, -114.32317385294165 48.68579734636571, -114.3231755231814 48.68618479985749, -114.32317804785902 48.68675236817066))"
155,MT,Montana State University,surface,,637.4,0.0,MSU 2nd Grant,Department of Natural Resources,34N,21W,33,,,"POLYGON ((-114.30140783154134 48.6725456394023, -114.30203345383777 48.672547018615525, -114.30210072464624 48.67254698790071, -114.30683506866193 48.67254313558032, -114.30764862068035 48.67254434679108, -114.31226233354192 48.67254065818631, -114.3123422714712 48.672542189845174, -114.31768960075208 48.672538182122494, -114.31875024907764 48.67253930628299, -114.32311683892966 48.67253567713078, -114.32310873945053 48.67140571996913, -114.32310848348489 48.67136669446124, -114.32309313165396 48.668920586689026, -114.32307424090052 48.666141493782916, -114.32306942560335 48.665305523410886, -114.32304571847477 48.66169043333747, -114.3230390420269 48.660775522303325, -114.32303517241183 48.66018539483752, -114.3230220125712 48.65807537045741, -114.31957267702278 48.658076433925636, -114.31768053029577 48.658076262435515, -114.31756155450114 48.65807504027329, -114.31538473950386 48.65807616040196, -114.31210109805953 48.65807473808407, -114.31122747493202 48.658075917044954, -114.306640806533 48.658074435614644, -114.30278338595225 48.6580754919051, -114.30211814663727 48.65807544923863, -114.30198901420947 48.658075439985225, -114.30118048693896 48.6580741055899, -114.30121120315275 48.660074274859035, -114.30122147686725 48.660728394991494, -114.3012373023709 48.66169200265147, -114.30124769313603 48.66239722423414, -114.30129414447538 48.665309872856305, -114.30130480916273 48.66603200997453, -114.30133513209738 48.66796181215523, -114.30135098847965 48.668927742428195, -114.30138924069891 48.67140724334489, -114.30138984692786 48.67144587913164, -114.3013907117241 48.671500944302515, -114.30140783154134 48.6725456394023))"
156,MT,Montana State University,surface,,20.0,0.0,MSU 2nd Grant,Department of Natural Resources,31N,22W,34,,,"POLYGON ((-114.38464505020943 48.40346352454197, -114.38735796982994 48.40347551265695, -114.38736022230964 48.40318048319754, -114.38736728438256 48.40225351774484, -114.38737228891013 48.40159678415769, -114.38737324249962 48.40147158663153, -114.38737975950829 48.400616226592476, -114.38738193170688 48.40033129306078, -114.38740016054139 48.399852827259316, -114.38467462518587 48.39983853512799, -114.38466463179698 48.400928167337895, -114.38465433482685 48.40219060507624, -114.38464505020943 48.40346352454197))"
157,MT,Montana State University,surface,,150.5,0.0,MSU 2nd Grant,Department of Natural Resources,18N,27W,18,,,"POLYGON ((-115.08415459062901 47.31697405207791, -115.0842112626502 47.320593424544505, -115.0885824341924 47.32058201907473, -115.08949943420339 47.32057853131171, -115.09332745726365 47.32056849670765, -115.09426539525128 47.32056491797416, -115.0942624723283 47.3204817462999, -115.09419508301649 47.316960351488085, -115.09412477407531 47.31335578538885, -115.08936589566908 47.313354286816185, -115.08413536523709 47.31335539588781, -115.08409794799461 47.31335468043314, -115.08411556005935 47.3145631551912, -115.08412433518768 47.31512389123503, -115.0841507460594 47.316811400240454, -115.08415279733505 47.31694862413973, -115.08415459062901 47.31697405207791))"
