,state,university,rights_type,activity,acres,gis_acres,trust_name,managing_agency,township,range,section,aliquot,data_source,geometry
10,MT,Montana State University,subsurface,,520.0,532.39,MSU 2nd Grant,Department of Natural Resources,1N,5W,10,,,"POLYGON ((390370.54339999706 182452.0236000009, 390354.7519000247 182058.23810000718, 390354.76579999924 182054.71890000626, 390338.38849999756 181650.19690000266, 390322.1117000133 181244.36659999937, 390321.29609999806 181224.23460000008, 390320.38540001214 181201.31920000166, 390305.8369999975 180838.53900000453, 389910.7281000018 180852.00150000304, 389903.36070002615 180852.27699999884, 389500.8852000013 180866.04460000247, 389098.4127000123 180879.83579999954, 388695.9390999973 180893.6567000039, 388707.08910001814 181304.6152999997, 388718.2415000275 181715.57330000028, 388729.3943000138 182126.53120000288, 389135.73420000076 182109.4441000037, 389542.07470002025 182092.3563000001, 389745.2943999991 182083.82290000096, 389814.04330002517 182080.93609999865, 389948.4119000137 182075.29600000381, 389948.5799999982 182080.4755000025, 389955.90470000356 182279.63370000198, 389957.472900033 182321.26330000162, 389963.46930000186 182484.0397000052, 390167.06120001525 182475.17430000007, 390204.47879999876 182473.53730000556, 390371.11490000784 182466.27590000257, 390370.7918000221 182458.27270000428, 390370.54339999706 182452.0236000009))"
11,MT,Montana State University,subsurface,,320.0,328.44,MSU 2nd Grant,Department of Natural Resources,1N,5W,14,,,"POLYGON ((391088.43960002065 179607.91690000147, 391077.680399999 179201.5062999986, 390668.1471000239 179207.8079000078, 390475.6130999997 179210.78489999846, 390309.61289999634 179213.37110000104, 390266.40869999677 179214.02450000122, 390263.24820001423 179214.0709999986, 390258.61390001327 179214.14020000398, 390269.0045000091 179571.60670000687, 390270.41870000213 179620.24030000344, 390275.6503000185 179800.1768000014, 390276.06740000844 179814.88190000132, 390277.83200000226 179875.5821999982, 390282.2260000035 180026.34010000527, 390294.03140000254 180432.4397, 390305.8369999975 180838.53900000453, 390713.27359999716 180832.7785000056, 391120.7100000009 180827.0454000011, 391109.9534000233 180420.68800000474, 391099.1972000003 180014.33029999956, 391088.43960002065 179607.91690000147))"
12,MT,Montana State University,subsurface,,320.0,323.02,MSU 2nd Grant,Department of Natural Resources,1N,5W,22,,,"MULTIPOLYGON (((390258.61390001327 179214.14020000398, 390247.0314999968 178808.09380000457, 389844.84430000186 178821.71579999477, 389446.9834000021 178835.17309999838, 389442.6548999995 178835.33690000698, 389040.496799998 178848.98649999872, 388878.71620001644 178854.47709999979, 388642.3381000012 178862.5245999992, 388638.33850000054 178862.63510000333, 388649.3427999988 179267.7203000076, 388653.7580000013 179267.48270000517, 389051.65879999846 179254.2853000015, 389453.9777000025 179240.87680000067, 389856.2952999994 179227.49520000443, 390258.61390001327 179214.14020000398)), ((390212.29559999704 177592.92350000143, 390212.28830002993 177589.95920000225, 390102.8343999982 177593.79069999605, 389815.1591999978 177603.8995999992, 389810.48090001196 177604.02460000291, 389818.2745999992 177879.81489999965, 389821.9371000007 178009.98059999943, 389829.9250999987 178292.92100000381, 389831.66330000013 178354.5753000006, 389832.95419999957 178400.37889999896, 389833.3929999992 178415.92390000075, 389880.1101000011 178414.31190000102, 390009.2148000002 178409.90549999848, 390176.7330000028 178404.10440000892, 390185.1011000201 178403.78720000386, 390235.45149999857 178402.05029999837, 390234.6018999964 178372.25389999896, 390233.9956000149 178351.06090000272, 390232.3055000007 178291.73140000552, 390229.1705000028 178181.68010000512, 390223.8696999997 177996.00340000167, 390216.8602000028 177750.25140000135, 390212.29559999704 177592.92350000143)), ((389420.0044 178023.9600000009, 389408.67440001667 177618.11680000275, 389405.82800000906 177618.21680000424, 389390.06340000033 177618.85020000115, 389068.70430000126 177630.06250000373, 389006.86890000105 177632.23530000076, 388608.46110001206 177646.23629999906, 388605.0644999966 177646.3834999986, 388616.1991999969 178051.9651999995, 389018.1028999984 178037.9616000019, 389248.9249000028 178029.91990000382, 389420.0044 178023.9600000009)))"
13,MT,Montana State University,subsurface,,480.0,487.01,MSU 2nd Grant,Department of Natural Resources,1N,5W,24,,,"POLYGON ((393514.5446000099 179119.78290000558, 393503.1982000023 178799.44619999826, 393500.01299999654 178713.442900002, 393498.22360000014 178660.36899999902, 393498.0700000003 178656.073900003, 393485.4808000028 178307.09950000048, 393280.0945999995 178315.85240000114, 393082.5024000034 178324.29740000516, 392679.52220000327 178341.49760000035, 392667.2123999968 177936.36590000242, 392654.9004999995 177531.2341000028, 392251.8328000009 177547.04620000347, 391848.76619999856 177562.8821000047, 391860.762500003 177969.40840000287, 391872.75670000166 178375.9314000085, 391879.14890000224 178588.92929999903, 391884.75140001625 178782.4571999982, 391896.74850001186 179188.98279999942, 392300.47040002793 179171.1414999999, 392704.19359999895 179153.33010000363, 393109.3685000017 179136.5430000052, 393514.5446000099 179119.78290000558))"
14,MT,Montana State University,subsurface,,320.0,319.98,MSU 2nd Grant,Department of Natural Resources,14N,9W,10,,,"POLYGON ((355901.2714000121 308243.8351000026, 355892.38340000063 308008.1711000055, 355491.17599999905 308018.0482000038, 355093.06710000336 308027.96229999885, 355089.9675000012 308027.9277000055, 355104.0343000069 308430.8751000054, 354703.34160000086 308441.0386000052, 354717.4530000016 308843.9444000013, 354731.55690000206 309246.8330000043, 355132.12610001117 309235.5340000093, 355136.38319999725 309235.51570000127, 355201.3645000011 309233.6671999991, 355211.38710000366 309233.3821000047, 355216.1391000226 309233.24680000916, 355303.82190000266 309230.7527000047, 355478.69129999727 309225.77820000425, 355534.80409999937 309224.10179999843, 355625.4199000299 309221.6169999987, 355853.5295000002 309215.15670000017, 355937.4825000316 309212.69690000266, 355922.3721999973 308811.5987999998, 355912.4438999966 308543.91099999845, 355907.26200003177 308410.5011000037, 355901.2714000121 308243.8351000026))"
15,MT,Montana State University,subsurface,OtherMin,320.0,320.79,MSU 2nd Grant,Department of Natural Resources,14N,9W,12,S2N2_SE4,,"POLYGON ((359118.1677000001 307888.63920000196, 359103.72839999944 307487.7166999988, 359100.4953000024 307487.9297000021, 358699.51830001175 307502.565200001, 358295.46350001544 307517.5267999992, 358300.14119999856 307636.61100000516, 358310.5969000235 307918.8376000039, 358325.6894999966 308320.12690000236, 358242.25460000336 308323.380900003, 357926.27319999784 308335.3289999999, 357922.2717999965 308335.3786999993, 357518.85379999876 308350.6303000003, 357534.686999999 308752.23110000044, 357801.9474000037 308742.03759999946, 357807.2875000015 308741.84020000324, 357814.1494999975 308741.57570000365, 357817.768400006 308741.4361000024, 357937.7053000033 308736.71150000393, 358340.72349999845 308721.1915999986, 358570.9192999974 308712.40540000424, 358743.65680000186 308705.625, 359146.740199998 308690.1424000077, 359142.84670000523 308574.5492000021, 359132.58910000324 308289.5547000021, 359125.44420000166 308085.5626000017, 359122.3027999997 307998.2399000004, 359122.19160000235 307995.1495000012, 359118.1677000001 307888.63920000196))"
16,MT,Montana State University,subsurface,,80.0,80.01,MSU 2nd Grant,Department of Natural Resources,14N,9W,22,,,"POLYGON ((355019.76079999655 306015.16650000215, 355006.06809999794 305613.34430000186, 354603.65299999714 305624.2930999994, 354201.2392999977 305635.2412000038, 354214.90900000185 306036.3051000051, 354617.33370003104 306025.72370000556, 355019.76079999655 306015.16650000215))"
17,MT,Montana State University,subsurface,,120.0,120.98,MSU 2nd Grant,Department of Natural Resources,14N,9W,24,,,"POLYGON ((358594.46379999816 304722.1653000042, 358592.6801000014 304683.48380000144, 358576.77839999646 304279.62660000473, 358174.09309999645 304293.9076000005, 357979.9697000012 304300.98699999973, 357951.56819999963 304301.85869999975, 357771.4826999977 304308.25620000064, 357786.9070000276 304712.5472000092, 358189.7665999979 304697.98690000176, 358205.440200001 305102.06639999896, 358608.58370000124 305087.3256999999, 358595.0390999988 304742.6264000051, 358594.46379999816 304722.1653000042))"
18,MT,Montana State University,subsurface,,640.0,658.07,MSU 2nd Grant,Department of Natural Resources,1N,5W,26,,,"POLYGON ((391848.76619999856 177562.8821000047, 391848.7669999972 177558.63300000504, 391835.8276000023 177156.51740000024, 391829.615199998 176959.08160000667, 391822.89109999686 176750.15240000188, 391810.0209000334 176342.1761000082, 391797.1506000012 175934.19929999858, 391792.3532000035 175934.2974999994, 391373.97140000015 175943.75679999962, 390950.79029999673 175953.34390000254, 390555.2597000003 175962.45610000193, 390159.72940000147 175971.5938999988, 390171.7672000006 176374.8627000004, 390183.80309999734 176778.13110000268, 390198.0467000082 177184.04380000383, 390205.12789999694 177383.38870000467, 390212.28830002993 177589.95920000225, 390621.4088000208 177583.14790000394, 391030.5271999985 177576.36410000175, 391439.6477999985 177569.61080000177, 391848.76619999856 177562.8821000047))"
19,MT,Montana State University,subsurface,,200.0,206.89,MSU 2nd Grant,Department of Natural Resources,14N,15W,22,,,"POLYGON ((297900.7877999991 307647.32930000126, 297883.21649999917 307235.7382999994, 297477.63740000874 307255.01469999924, 297072.0574000031 307274.31880000606, 296666.47870001197 307293.6506999992, 296260.9033000171 307313.01000000164, 296277.9935000017 307724.2956000045, 296295.08640000224 308135.5814000033, 296701.1376999989 308116.4043999985, 296683.8083000034 307705.03510000184, 297089.6230000034 307685.7745000012, 297495.20440000296 307666.5505000055, 297900.7877999991 307647.32930000126))"
