,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
14,ND,North Dakota State University,160.12,159.52,North Dakota State University,Commissioner of University and School Lands,RAMSEY,157,60,1,"S2NE4, LOTS 1,2",https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-98.31809937094278 48.45675071413052, -98.31825666437804 48.4567510762843, -98.32355032003143 48.45677100961609, -98.328999766542 48.45679127565035, -98.32898836351494 48.453208092939896, -98.32898490411885 48.4495806433488, -98.31807441399303 48.449565090872916, -98.31808702278134 48.45319253695854, -98.31809937094278 48.45675071413052))"
15,ND,North Dakota State University,160.0,159.73,North Dakota State University,Commissioner of University and School Lands,MCHENRY,157,75,3,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.33089732823133 48.450870854489864, -100.33092380672242 48.44362110459971, -100.32012338376595 48.44363586785089, -100.32002028310549 48.45088550339557, -100.33089732823133 48.450870854489864))"
16,ND,North Dakota State University,80.0,79.88,North Dakota State University,Commissioner of University and School Lands,PIERCE,157,72,1,S2NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.89569737122642 48.45441138294176, -99.90651750598546 48.4543015042079, -99.90653732051577 48.45068308088521, -99.8956677796136 48.45079327892952, -99.89566284721921 48.45441172899477, -99.89569737122642 48.45441138294176))"
17,ND,North Dakota State University,153.0,160.53,North Dakota State University,Commissioner of University and School Lands,MCHENRY,157,80,8,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-101.02739319654296 48.43670969159475, -101.02729345987514 48.429487140279065, -101.01663299139925 48.429554903441044, -101.01634259052364 48.42955675949829, -101.01644256327708 48.436751899075986, -101.02739319654296 48.43670969159475))"
18,ND,North Dakota State University,84.1,120.07,North Dakota State University,Commissioner of University and School Lands,PIERCE,157,72,1,"SW4SE4, LOT 6",https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.8956677796136 48.45079327892952, -99.89567244258451 48.44717484052191, -99.89567710894859 48.443556385810204, -99.89524729860267 48.44356020161116, -99.89022715345993 48.443610826342, -99.89023007662101 48.44722954582502, -99.88478768959052 48.447283996284526, -99.88479818112307 48.45090246191272, -99.89023299765661 48.450847993687475, -99.8956677796136 48.45079327892952))"
19,ND,North Dakota State University,80.0,80.0,North Dakota State University,Commissioner of University and School Lands,PIERCE,157,72,1,N2SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.90653732051577 48.45068308088521, -99.90655713436728 48.44706464381257, -99.90111479704963 48.4471198778738, -99.89567244258451 48.44717484052191, -99.8956677796136 48.45079327892952, -99.90653732051577 48.45068308088521))"
20,ND,North Dakota State University,160.0,157.25,North Dakota State University,Commissioner of University and School Lands,MCHENRY,157,76,7,NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.51572273760131 48.43638090959164, -100.51572306339745 48.443465569239265, -100.51599281582588 48.443465956379306, -100.52661775817937 48.44348189945686, -100.52661592030535 48.43636654185059, -100.51572273760131 48.43638090959164))"
21,ND,North Dakota State University,160.0,160.45,North Dakota State University,Commissioner of University and School Lands,PIERCE,157,70,5,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.72170708354865 48.45079022264334, -99.72174434511054 48.443551161874076, -99.7110056943599 48.443526100055735, -99.7108495366106 48.44352573967043, -99.710849200068 48.44357054554324, -99.71079493678795 48.450764770477704, -99.72170708354865 48.45079022264334))"
22,ND,North Dakota State University,160.0,160.71,North Dakota State University,Commissioner of University and School Lands,MCHENRY,157,79,8,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.89656076329763 48.43673431964393, -100.89658606280466 48.429461673238116, -100.88595536233414 48.42948061005116, -100.88573587070057 48.42948101735768, -100.88568529584201 48.43676091946493, -100.89656076329763 48.43673431964393))"
23,ND,North Dakota State University,160.0,159.72,North Dakota State University,Commissioner of University and School Lands,RAMSEY,157,63,1,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-98.70954774130102 48.44252588836594, -98.70937376043278 48.44252612199964, -98.70936377002708 48.44974286908618, -98.70936375236897 48.44976027808546, -98.72023414624299 48.44979028142415, -98.72022424023002 48.442556130169486, -98.70954774130102 48.44252588836594))"
24,ND,North Dakota State University,160.0,160.81,North Dakota State University,Commissioner of University and School Lands,MCHENRY,156,78,28,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.69122910364 48.29769449465904, -100.69122976958609 48.297791555682124, -100.691278441785 48.30496407267543, -100.70215333843079 48.304954922435876, -100.7020787578389 48.297700248362766, -100.69143199367579 48.29769459413018, -100.69122910364 48.29769449465904))"
25,ND,North Dakota State University,55.4,55.52,North Dakota State University,Commissioner of University and School Lands,RAMSEY,156,63,3,LOT 1,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-98.72460979347053 48.365101610644906, -98.72470137450911 48.370105084336494, -98.72475894241295 48.37010549197206, -98.73013873707994 48.370143538003305, -98.73004688915206 48.36511496118978, -98.72460979347053 48.365101610644906))"
26,ND,North Dakota State University,150.64,151.02,North Dakota State University,Commissioner of University and School Lands,WARD,156,86,18,"E2SW4, LOTS 3,4",https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-101.7823087974056 48.32707746181516, -101.78236023769513 48.33431339134448, -101.78778860085978 48.334300255910264, -101.79260355382155 48.334288386331174, -101.79257858473567 48.330670441528056, -101.79255394649644 48.32710054551404, -101.79255361304416 48.32705248380112, -101.78773639345839 48.32706434294529, -101.7823087974056 48.32707746181516))"
27,ND,North Dakota State University,160.0,159.96,North Dakota State University,Commissioner of University and School Lands,MOUNTRAIL,156,92,7,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.55892331175582 48.34527420464382, -102.55892353226064 48.34165488338726, -102.54807510251489 48.34167003405402, -102.54807313569714 48.34890871733822, -102.55892311865375 48.34889344609474, -102.55892331175582 48.34527420464382))"
28,ND,North Dakota State University,40.0,39.94,North Dakota State University,Commissioner of University and School Lands,WILLIAMS,156,101,26,SE4NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-103.63656302443111 48.30631039398598, -103.63655018393008 48.30992873998143, -103.6419691897165 48.30993479457636, -103.64197573506995 48.30631645306695, -103.63656302443111 48.30631039398598))"
29,ND,North Dakota State University,160.0,158.32,North Dakota State University,Commissioner of University and School Lands,TOWNER,157,68,30,NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.48241720758102 48.40000843254722, -99.48243006736978 48.39284226020757, -99.4715623629738 48.39289671513424, -99.47154783578164 48.40004830103261, -99.47160815042106 48.400048075507904, -99.48241720758102 48.40000843254722))"
30,ND,North Dakota State University,160.0,160.62,North Dakota State University,Commissioner of University and School Lands,TOWNER,157,68,29,NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.47154783578164 48.40004830103261, -99.4715623629738 48.39289671513424, -99.47156246433858 48.392852931527486, -99.46059709845026 48.39278589603126, -99.46056748879933 48.39997844317149, -99.46605766816867 48.40001350129904, -99.47154783578164 48.40004830103261))"
31,ND,North Dakota State University,40.0,39.99,North Dakota State University,Commissioner of University and School Lands,MOUNTRAIL,156,92,7,SE4SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.55892331175582 48.34527420464382, -102.56434788258434 48.345266191791886, -102.5643477243751 48.34164692415853, -102.55892353226064 48.34165488338726, -102.55892331175582 48.34527420464382))"
32,ND,North Dakota State University,120.0,118.77,North Dakota State University,Commissioner of University and School Lands,WILLIAMS,156,101,26,"N2SW4, SW4SW4",https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-103.64197573506995 48.30631645306695, -103.64738840527438 48.30632226821981, -103.64738867360707 48.30273040004557, -103.64738894109053 48.29917597480814, -103.6473889395792 48.29911207399052, -103.64198876112117 48.29912006122016, -103.64198218340618 48.30273840560148, -103.63657568880105 48.302746146299285, -103.63656302443111 48.30631039398598, -103.64197573506995 48.30631645306695))"
33,ND,North Dakota State University,40.0,39.56,North Dakota State University,Commissioner of University and School Lands,WILLIAMS,156,101,26,NW4SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-103.63656302443111 48.30631039398598, -103.63657568880105 48.302746146299285, -103.63657578074994 48.30271909749262, -103.63116931861529 48.3027196885481, -103.63115031852197 48.30630407698434, -103.63656302443111 48.30631039398598))"
34,ND,North Dakota State University,160.0,160.26,North Dakota State University,Commissioner of University and School Lands,PIERCE,157,73,28,SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.0916251088577 48.38576299076864, -100.09157539382369 48.392987794945235, -100.10247559430788 48.39299222931547, -100.10249371595587 48.39034806709381, -100.10252507370811 48.38576745557597, -100.10246409879022 48.38576743294878, -100.0916251088577 48.38576299076864))"
35,ND,North Dakota State University,114.47,114.06,North Dakota State University,Commissioner of University and School Lands,MOUNTRAIL,156,92,18,"E2NW4, LOT 1",https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.5643477243751 48.34164692415853, -102.5688701913174 48.341640084983915, -102.56889534092808 48.337995819489976, -102.56429529259802 48.338005007086025, -102.5642432131169 48.33438587860368, -102.55881980516938 48.334396464058756, -102.55892353226064 48.34165488338726, -102.5643477243751 48.34164692415853))"
