,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,activity,county,meridian,township,range,section,geometry
0,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.8,subsurface+surface,Oil & Gas,Otero,6th Meridian,21S,54W,2.0,"POLYGON ((637242.2429 4234124.175100001, 636842.1787999999 4234115.2872, 636833.9950000001 4234510.6273, 636825.6368000004 4234906.3883, 637225.9741000002 4234916.5518, 637626.1442 4234926.7325, 638024.9719000002 4234937.3334, 638423.9737 4234947.533500001, 638433.2810000004 4234549.6699, 638442.4209000003 4234151.8037, 638042.3568000002 4234142.8564, 637642.2998000002 4234133.505999999, 637242.2429 4234124.175100001))"
1,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.8,subsurface+surface,Other Minerals,Otero,6th Meridian,21S,54W,2.0,"POLYGON ((637242.2429 4234124.175100001, 636842.1787999999 4234115.2872, 636833.9950000001 4234510.6273, 636825.6368000004 4234906.3883, 637225.9741000002 4234916.5518, 637626.1442 4234926.7325, 638024.9719000002 4234937.3334, 638423.9737 4234947.533500001, 638433.2810000004 4234549.6699, 638442.4209000003 4234151.8037, 638042.3568000002 4234142.8564, 637642.2998000002 4234133.505999999, 637242.2429 4234124.175100001))"
2,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.8,subsurface+surface,Coal,Otero,6th Meridian,21S,54W,2.0,"POLYGON ((637242.2429 4234124.175100001, 636842.1787999999 4234115.2872, 636833.9950000001 4234510.6273, 636825.6368000004 4234906.3883, 637225.9741000002 4234916.5518, 637626.1442 4234926.7325, 638024.9719000002 4234937.3334, 638423.9737 4234947.533500001, 638433.2810000004 4234549.6699, 638442.4209000003 4234151.8037, 638042.3568000002 4234142.8564, 637642.2998000002 4234133.505999999, 637242.2429 4234124.175100001))"
3,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,108.48,108.46,subsurface,Oil & Gas,Moffat,6th Meridian,5N,94W,32.0,"POLYGON ((248117.80709999986 4470575.6315, 248113.0058000004 4470432.484300001, 248045.76740000024 4470434.739800001, 247710.8853000002 4470446.4067, 247702.17810000014 4470187.2171, 247697.53139999975 4470044.0645, 247630.28949999996 4470046.3236, 247227.9707000004 4470059.852600001, 246893.21800000034 4470071.1262, 246897.8942999998 4470214.702400001, 246906.45299999975 4470473.474400001, 247241.02579999994 4470462.2061, 247308.58839999977 4470459.932399999, 247313.40500000026 4470603.0798, 247647.9709999999 4470591.829299999, 248050.4079 4470577.8924, 248117.80709999986 4470575.6315))"
4,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,108.48,108.46,subsurface,Other Minerals,Moffat,6th Meridian,5N,94W,32.0,"POLYGON ((248117.80709999986 4470575.6315, 248113.0058000004 4470432.484300001, 248045.76740000024 4470434.739800001, 247710.8853000002 4470446.4067, 247702.17810000014 4470187.2171, 247697.53139999975 4470044.0645, 247630.28949999996 4470046.3236, 247227.9707000004 4470059.852600001, 246893.21800000034 4470071.1262, 246897.8942999998 4470214.702400001, 246906.45299999975 4470473.474400001, 247241.02579999994 4470462.2061, 247308.58839999977 4470459.932399999, 247313.40500000026 4470603.0798, 247647.9709999999 4470591.829299999, 248050.4079 4470577.8924, 248117.80709999986 4470575.6315))"
5,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,108.48,108.46,subsurface,Coal,Moffat,6th Meridian,5N,94W,32.0,"POLYGON ((248117.80709999986 4470575.6315, 248113.0058000004 4470432.484300001, 248045.76740000024 4470434.739800001, 247710.8853000002 4470446.4067, 247702.17810000014 4470187.2171, 247697.53139999975 4470044.0645, 247630.28949999996 4470046.3236, 247227.9707000004 4470059.852600001, 246893.21800000034 4470071.1262, 246897.8942999998 4470214.702400001, 246906.45299999975 4470473.474400001, 247241.02579999994 4470462.2061, 247308.58839999977 4470459.932399999, 247313.40500000026 4470603.0798, 247647.9709999999 4470591.829299999, 248050.4079 4470577.8924, 248117.80709999986 4470575.6315))"
6,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,240.0,244.68,subsurface,Coal,Pueblo,6th Meridian,19S,67W,25.0,"POLYGON ((514870.60809999984 4246588.6426, 514870.87760000024 4246181.711100001, 514871.26960000023 4245774.6194, 514466.1358000003 4245773.063200001, 514465.4386 4246179.161699999, 514464.8521999996 4246585.318600001, 514059.0197999999 4246582.101500001, 514058.1469999999 4246987.176000001, 514057.1074000001 4247392.250499999, 514463.6150000002 4247397.625499999, 514869.95529999956 4247403.021, 514870.20660000015 4246995.828500001, 514870.60809999984 4246588.6426))"
7,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,240.0,244.68,subsurface,Other Minerals,Pueblo,6th Meridian,19S,67W,25.0,"POLYGON ((514870.60809999984 4246588.6426, 514870.87760000024 4246181.711100001, 514871.26960000023 4245774.6194, 514466.1358000003 4245773.063200001, 514465.4386 4246179.161699999, 514464.8521999996 4246585.318600001, 514059.0197999999 4246582.101500001, 514058.1469999999 4246987.176000001, 514057.1074000001 4247392.250499999, 514463.6150000002 4247397.625499999, 514869.95529999956 4247403.021, 514870.20660000015 4246995.828500001, 514870.60809999984 4246588.6426))"
8,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,240.0,244.68,subsurface,Oil & Gas,Pueblo,6th Meridian,19S,67W,25.0,"POLYGON ((514870.60809999984 4246588.6426, 514870.87760000024 4246181.711100001, 514871.26960000023 4245774.6194, 514466.1358000003 4245773.063200001, 514465.4386 4246179.161699999, 514464.8521999996 4246585.318600001, 514059.0197999999 4246582.101500001, 514058.1469999999 4246987.176000001, 514057.1074000001 4247392.250499999, 514463.6150000002 4247397.625499999, 514869.95529999956 4247403.021, 514870.20660000015 4246995.828500001, 514870.60809999984 4246588.6426))"
9,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,145.18,144.79,subsurface,Coal,Moffat,6th Meridian,4N,93W,12.0,"POLYGON ((265232.90079999994 4467549.650800001, 265226.0889999997 4467400.6839000005, 264824.27359999996 4467413.184900001, 264422.4367000004 4467425.703199999, 264020.65330000035 4467438.2393, 263680.76290000044 4467448.709799999, 263693.1666000001 4467851.7147, 263697.716 4467999.363399999, 264040.65639999975 4468006.4958, 264443.7982999999 4468014.899900001, 264517.70639999956 4468016.443, 264515.3596999999 4467825.776000001, 264512.4902999997 4467592.2958, 264830.28270000033 4467573.4626, 265232.90079999994 4467549.650800001))"
10,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,145.18,144.79,subsurface,Other Minerals,Moffat,6th Meridian,4N,93W,12.0,"POLYGON ((265232.90079999994 4467549.650800001, 265226.0889999997 4467400.6839000005, 264824.27359999996 4467413.184900001, 264422.4367000004 4467425.703199999, 264020.65330000035 4467438.2393, 263680.76290000044 4467448.709799999, 263693.1666000001 4467851.7147, 263697.716 4467999.363399999, 264040.65639999975 4468006.4958, 264443.7982999999 4468014.899900001, 264517.70639999956 4468016.443, 264515.3596999999 4467825.776000001, 264512.4902999997 4467592.2958, 264830.28270000033 4467573.4626, 265232.90079999994 4467549.650800001))"
11,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,145.18,144.79,subsurface,Oil & Gas,Moffat,6th Meridian,4N,93W,12.0,"POLYGON ((265232.90079999994 4467549.650800001, 265226.0889999997 4467400.6839000005, 264824.27359999996 4467413.184900001, 264422.4367000004 4467425.703199999, 264020.65330000035 4467438.2393, 263680.76290000044 4467448.709799999, 263693.1666000001 4467851.7147, 263697.716 4467999.363399999, 264040.65639999975 4468006.4958, 264443.7982999999 4468014.899900001, 264517.70639999956 4468016.443, 264515.3596999999 4467825.776000001, 264512.4902999997 4467592.2958, 264830.28270000033 4467573.4626, 265232.90079999994 4467549.650800001))"
12,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,636.75,subsurface+surface,Other Minerals,Bent,6th Meridian,21S,53W,8.0,"POLYGON ((642075.5587999998 4232624.308599999, 641677.7301000003 4232616.4947, 641669.4993000003 4233020.307700001, 641661.2603000002 4233424.544, 641653.0209999997 4233828.7805, 641644.6217 4234232.591, 642042.8569 4234241.2609, 642440.9248000002 4234249.9474, 642838.9929999998 4234258.6534, 643237.0687999995 4234266.955700001, 643245.0619000001 4233862.289000001, 643252.8872999996 4233457.6196, 643260.8792000003 4233052.953500001, 643268.8783999998 4232647.8641, 642871.0493999999 4232639.991699999, 642473.3874000004 4232632.141799999, 642075.5587999998 4232624.308599999))"
13,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,636.75,subsurface+surface,Coal,Bent,6th Meridian,21S,53W,8.0,"POLYGON ((642075.5587999998 4232624.308599999, 641677.7301000003 4232616.4947, 641669.4993000003 4233020.307700001, 641661.2603000002 4233424.544, 641653.0209999997 4233828.7805, 641644.6217 4234232.591, 642042.8569 4234241.2609, 642440.9248000002 4234249.9474, 642838.9929999998 4234258.6534, 643237.0687999995 4234266.955700001, 643245.0619000001 4233862.289000001, 643252.8872999996 4233457.6196, 643260.8792000003 4233052.953500001, 643268.8783999998 4232647.8641, 642871.0493999999 4232639.991699999, 642473.3874000004 4232632.141799999, 642075.5587999998 4232624.308599999))"
14,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,636.75,subsurface+surface,Oil & Gas,Bent,6th Meridian,21S,53W,8.0,"POLYGON ((642075.5587999998 4232624.308599999, 641677.7301000003 4232616.4947, 641669.4993000003 4233020.307700001, 641661.2603000002 4233424.544, 641653.0209999997 4233828.7805, 641644.6217 4234232.591, 642042.8569 4234241.2609, 642440.9248000002 4234249.9474, 642838.9929999998 4234258.6534, 643237.0687999995 4234266.955700001, 643245.0619000001 4233862.289000001, 643252.8872999996 4233457.6196, 643260.8792000003 4233052.953500001, 643268.8783999998 4232647.8641, 642871.0493999999 4232639.991699999, 642473.3874000004 4232632.141799999, 642075.5587999998 4232624.308599999))"
15,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,360.0,350.26,subsurface,Oil & Gas,Larimer,6th Meridian,8N,70W,10.0,"POLYGON ((481500.0546000004 4503251.099300001, 481493.06510000024 4502830.498199999, 481882.8280999996 4502853.5834, 481879.93450000044 4502464.663000001, 481877.03839999996 4502075.7366, 481480.6366999997 4502070.971100001, 481105.9846000001 4501985.8915, 481110.37909999955 4502396.9188, 480733.8953 4502343.144099999, 480736.45409999974 4502785.505999999, 480739.1974999998 4503227.6263999995, 480741.9567 4503670.1219, 481124.4304999998 4503670.833799999, 481506.90419999976 4503671.565400001, 481500.0546000004 4503251.099300001))"
16,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,360.0,350.26,subsurface,Other Minerals,Larimer,6th Meridian,8N,70W,10.0,"POLYGON ((481500.0546000004 4503251.099300001, 481493.06510000024 4502830.498199999, 481882.8280999996 4502853.5834, 481879.93450000044 4502464.663000001, 481877.03839999996 4502075.7366, 481480.6366999997 4502070.971100001, 481105.9846000001 4501985.8915, 481110.37909999955 4502396.9188, 480733.8953 4502343.144099999, 480736.45409999974 4502785.505999999, 480739.1974999998 4503227.6263999995, 480741.9567 4503670.1219, 481124.4304999998 4503670.833799999, 481506.90419999976 4503671.565400001, 481500.0546000004 4503251.099300001))"
17,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,360.0,350.26,subsurface,Coal,Larimer,6th Meridian,8N,70W,10.0,"POLYGON ((481500.0546000004 4503251.099300001, 481493.06510000024 4502830.498199999, 481882.8280999996 4502853.5834, 481879.93450000044 4502464.663000001, 481877.03839999996 4502075.7366, 481480.6366999997 4502070.971100001, 481105.9846000001 4501985.8915, 481110.37909999955 4502396.9188, 480733.8953 4502343.144099999, 480736.45409999974 4502785.505999999, 480739.1974999998 4503227.6263999995, 480741.9567 4503670.1219, 481124.4304999998 4503670.833799999, 481506.90419999976 4503671.565400001, 481500.0546000004 4503251.099300001))"
18,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,316.42,subsurface,Other Minerals,Pueblo,6th Meridian,19S,66W,28.0,"POLYGON ((519785.358 4246165.3375, 519780.01740000024 4245761.093900001, 519385.2438000003 4245762.675100001, 518990.6369000003 4245764.276000001, 518596.03029999975 4245765.896299999, 518201.25739999954 4245767.535599999, 518200.3490000004 4246170.0703, 518199.27300000004 4246573.0284, 518597.1704000002 4246572.243100001, 518995.06790000014 4246571.477399999, 519392.7991000004 4246570.731000001, 519790.6969999997 4246570.0046999995, 519785.358 4246165.3375))"
19,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,316.42,subsurface,Oil & Gas,Pueblo,6th Meridian,19S,66W,28.0,"POLYGON ((519785.358 4246165.3375, 519780.01740000024 4245761.093900001, 519385.2438000003 4245762.675100001, 518990.6369000003 4245764.276000001, 518596.03029999975 4245765.896299999, 518201.25739999954 4245767.535599999, 518200.3490000004 4246170.0703, 518199.27300000004 4246573.0284, 518597.1704000002 4246572.243100001, 518995.06790000014 4246571.477399999, 519392.7991000004 4246570.731000001, 519790.6969999997 4246570.0046999995, 519785.358 4246165.3375))"
20,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,316.42,subsurface,Coal,Pueblo,6th Meridian,19S,66W,28.0,"POLYGON ((519785.358 4246165.3375, 519780.01740000024 4245761.093900001, 519385.2438000003 4245762.675100001, 518990.6369000003 4245764.276000001, 518596.03029999975 4245765.896299999, 518201.25739999954 4245767.535599999, 518200.3490000004 4246170.0703, 518199.27300000004 4246573.0284, 518597.1704000002 4246572.243100001, 518995.06790000014 4246571.477399999, 519392.7991000004 4246570.731000001, 519790.6969999997 4246570.0046999995, 519785.358 4246165.3375))"
21,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.35,subsurface+surface,Oil & Gas,Bent,6th Meridian,21S,53W,5.0,"POLYGON ((642042.8569 4234241.2609, 641644.6217 4234232.591, 641637.3420000002 4234629.646600001, 641629.8947999999 4235026.6994, 642012.5539999995 4235035.9439, 642395.0537999999 4235044.780099999, 642808.4154000003 4235055.025900001, 643221.9512 4235064.872300001, 643229.5066999998 4234666.125499999, 643237.0687999995 4234266.955700001, 642838.9929999998 4234258.6534, 642440.9248000002 4234249.9474, 642042.8569 4234241.2609))"
22,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.35,subsurface+surface,Other Minerals,Bent,6th Meridian,21S,53W,5.0,"POLYGON ((642042.8569 4234241.2609, 641644.6217 4234232.591, 641637.3420000002 4234629.646600001, 641629.8947999999 4235026.6994, 642012.5539999995 4235035.9439, 642395.0537999999 4235044.780099999, 642808.4154000003 4235055.025900001, 643221.9512 4235064.872300001, 643229.5066999998 4234666.125499999, 643237.0687999995 4234266.955700001, 642838.9929999998 4234258.6534, 642440.9248000002 4234249.9474, 642042.8569 4234241.2609))"
23,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.35,subsurface+surface,Coal,Bent,6th Meridian,21S,53W,5.0,"POLYGON ((642042.8569 4234241.2609, 641644.6217 4234232.591, 641637.3420000002 4234629.646600001, 641629.8947999999 4235026.6994, 642012.5539999995 4235035.9439, 642395.0537999999 4235044.780099999, 642808.4154000003 4235055.025900001, 643221.9512 4235064.872300001, 643229.5066999998 4234666.125499999, 643237.0687999995 4234266.955700001, 642838.9929999998 4234258.6534, 642440.9248000002 4234249.9474, 642042.8569 4234241.2609))"
24,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,639.95,subsurface,Oil & Gas,Montezuma,New Mexico Meridian,38N,14W,32.0,"POLYGON ((198475.12600000016 4156433.2248, 198460.6213999996 4156028.8638000004, 198058.83239999972 4156042.6052, 197657.05810000002 4156056.7894, 197255.43659999967 4156070.5634000003, 196853.66139999963 4156084.786699999, 196872.10819999967 4156488.584899999, 196890.55570000038 4156892.3834000006, 196909.00430000015 4157296.1819, 196927.28490000032 4157699.9867000002, 197325.51769999973 4157688.0084000006, 197723.58100000024 4157676.055400001, 198121.81240000017 4157664.1152, 198519.8744000001 4157652.2004000004, 198504.75270000007 4157244.8932000007, 198489.6319000004 4156837.586100001, 198475.12600000016 4156433.2248))"
25,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,639.95,subsurface,Coal,Montezuma,New Mexico Meridian,38N,14W,32.0,"POLYGON ((198475.12600000016 4156433.2248, 198460.6213999996 4156028.8638000004, 198058.83239999972 4156042.6052, 197657.05810000002 4156056.7894, 197255.43659999967 4156070.5634000003, 196853.66139999963 4156084.786699999, 196872.10819999967 4156488.584899999, 196890.55570000038 4156892.3834000006, 196909.00430000015 4157296.1819, 196927.28490000032 4157699.9867000002, 197325.51769999973 4157688.0084000006, 197723.58100000024 4157676.055400001, 198121.81240000017 4157664.1152, 198519.8744000001 4157652.2004000004, 198504.75270000007 4157244.8932000007, 198489.6319000004 4156837.586100001, 198475.12600000016 4156433.2248))"
26,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,639.95,subsurface,Other Minerals,Montezuma,New Mexico Meridian,38N,14W,32.0,"POLYGON ((198475.12600000016 4156433.2248, 198460.6213999996 4156028.8638000004, 198058.83239999972 4156042.6052, 197657.05810000002 4156056.7894, 197255.43659999967 4156070.5634000003, 196853.66139999963 4156084.786699999, 196872.10819999967 4156488.584899999, 196890.55570000038 4156892.3834000006, 196909.00430000015 4157296.1819, 196927.28490000032 4157699.9867000002, 197325.51769999973 4157688.0084000006, 197723.58100000024 4157676.055400001, 198121.81240000017 4157664.1152, 198519.8744000001 4157652.2004000004, 198504.75270000007 4157244.8932000007, 198489.6319000004 4156837.586100001, 198475.12600000016 4156433.2248))"
27,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,635.65,subsurface+surface,Oil & Gas,Larimer,6th Meridian,9N,70W,34.0,"POLYGON ((482283.64389999956 4505575.610300001, 482282.84190000035 4505172.0660999995, 482277.68539999984 4505172.078500001, 481886.6732000001 4505173.445699999, 481493.0842000004 4505175.2633, 481095.21719999984 4505174.148600001, 481089.41500000004 4505173.74, 480696.5429999996 4505172.6339, 480686.8435000004 4505172.6543000005, 480691.8108000001 4505579.431, 480696.87210000027 4505985.998500001, 480701.93400000036 4506392.5660999995, 480706.9145999998 4506799.346000001, 481101.92540000007 4506795.941400001, 481496.79399999976 4506792.4055, 481891.66390000004 4506789.3138999995, 482286.53280000016 4506785.8201, 482285.5695000002 4506382.2754999995, 482284.6070999997 4505979.1545, 482283.64389999956 4505575.610300001))"
28,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,635.65,subsurface+surface,Other Minerals,Larimer,6th Meridian,9N,70W,34.0,"POLYGON ((482283.64389999956 4505575.610300001, 482282.84190000035 4505172.0660999995, 482277.68539999984 4505172.078500001, 481886.6732000001 4505173.445699999, 481493.0842000004 4505175.2633, 481095.21719999984 4505174.148600001, 481089.41500000004 4505173.74, 480696.5429999996 4505172.6339, 480686.8435000004 4505172.6543000005, 480691.8108000001 4505579.431, 480696.87210000027 4505985.998500001, 480701.93400000036 4506392.5660999995, 480706.9145999998 4506799.346000001, 481101.92540000007 4506795.941400001, 481496.79399999976 4506792.4055, 481891.66390000004 4506789.3138999995, 482286.53280000016 4506785.8201, 482285.5695000002 4506382.2754999995, 482284.6070999997 4505979.1545, 482283.64389999956 4505575.610300001))"
29,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,635.65,subsurface+surface,Coal,Larimer,6th Meridian,9N,70W,34.0,"POLYGON ((482283.64389999956 4505575.610300001, 482282.84190000035 4505172.0660999995, 482277.68539999984 4505172.078500001, 481886.6732000001 4505173.445699999, 481493.0842000004 4505175.2633, 481095.21719999984 4505174.148600001, 481089.41500000004 4505173.74, 480696.5429999996 4505172.6339, 480686.8435000004 4505172.6543000005, 480691.8108000001 4505579.431, 480696.87210000027 4505985.998500001, 480701.93400000036 4506392.5660999995, 480706.9145999998 4506799.346000001, 481101.92540000007 4506795.941400001, 481496.79399999976 4506792.4055, 481891.66390000004 4506789.3138999995, 482286.53280000016 4506785.8201, 482285.5695000002 4506382.2754999995, 482284.6070999997 4505979.1545, 482283.64389999956 4505575.610300001))"
30,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,5.7,40.3,subsurface,Coal,Crowley,6th Meridian,21S,58W,33.0,"POLYGON ((596029.8843 4226043.0022, 595624.7596000005 4226034.817299999, 595616.1821999997 4226437.6679, 596021.0358999996 4226444.8478, 596029.8843 4226043.0022))"
31,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,5.7,40.3,subsurface,Oil & Gas,Crowley,6th Meridian,21S,58W,33.0,"POLYGON ((596029.8843 4226043.0022, 595624.7596000005 4226034.817299999, 595616.1821999997 4226437.6679, 596021.0358999996 4226444.8478, 596029.8843 4226043.0022))"
32,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,5.7,40.3,subsurface,Other Minerals,Crowley,6th Meridian,21S,58W,33.0,"POLYGON ((596029.8843 4226043.0022, 595624.7596000005 4226034.817299999, 595616.1821999997 4226437.6679, 596021.0358999996 4226444.8478, 596029.8843 4226043.0022))"
33,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,323.6,326.97,subsurface,Oil & Gas,Montezuma,New Mexico Meridian,35N,15W,2.0,"POLYGON ((193129.9353 4136369.6654000003, 193112.5926000001 4135961.5887, 192707.9313000003 4135984.0766000003, 192303.2701000003 4136006.5842000004, 191901.1453999998 4136029.0183000006, 191499.1900000004 4136051.465500001, 191514.48649999965 4136452.4144, 191530.1434000004 4136863.1017000005, 191934.5513000004 4136843.9538000003, 192338.97470000014 4136825.2487000003, 192743.3822999997 4136806.1400000006, 193147.7899000002 4136787.0507999994, 193129.9353 4136369.6654000003))"
34,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,323.6,326.97,subsurface,Other Minerals,Montezuma,New Mexico Meridian,35N,15W,2.0,"POLYGON ((193129.9353 4136369.6654000003, 193112.5926000001 4135961.5887, 192707.9313000003 4135984.0766000003, 192303.2701000003 4136006.5842000004, 191901.1453999998 4136029.0183000006, 191499.1900000004 4136051.465500001, 191514.48649999965 4136452.4144, 191530.1434000004 4136863.1017000005, 191934.5513000004 4136843.9538000003, 192338.97470000014 4136825.2487000003, 192743.3822999997 4136806.1400000006, 193147.7899000002 4136787.0507999994, 193129.9353 4136369.6654000003))"
35,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,323.6,326.97,subsurface,Coal,Montezuma,New Mexico Meridian,35N,15W,2.0,"POLYGON ((193129.9353 4136369.6654000003, 193112.5926000001 4135961.5887, 192707.9313000003 4135984.0766000003, 192303.2701000003 4136006.5842000004, 191901.1453999998 4136029.0183000006, 191499.1900000004 4136051.465500001, 191514.48649999965 4136452.4144, 191530.1434000004 4136863.1017000005, 191934.5513000004 4136843.9538000003, 192338.97470000014 4136825.2487000003, 192743.3822999997 4136806.1400000006, 193147.7899000002 4136787.0507999994, 193129.9353 4136369.6654000003))"
36,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,160.0,159.63,subsurface+surface,Coal,Crowley,6th Meridian,20S,56W,34.0,"POLYGON ((616960.1150000002 4236783.481799999, 616555.2457999997 4236772.1348, 616546.3306999998 4237170.8332, 616537.2429 4237569.9528, 616941.2380999997 4237581.287799999, 617345.3935000002 4237593.0688000005, 617355.0219 4237193.9564, 617364.8110999996 4236795.27, 616960.1150000002 4236783.481799999))"
37,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,160.0,159.63,subsurface+surface,Other Minerals,Crowley,6th Meridian,20S,56W,34.0,"POLYGON ((616960.1150000002 4236783.481799999, 616555.2457999997 4236772.1348, 616546.3306999998 4237170.8332, 616537.2429 4237569.9528, 616941.2380999997 4237581.287799999, 617345.3935000002 4237593.0688000005, 617355.0219 4237193.9564, 617364.8110999996 4236795.27, 616960.1150000002 4236783.481799999))"
38,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,160.0,159.63,subsurface+surface,Oil & Gas,Crowley,6th Meridian,20S,56W,34.0,"POLYGON ((616960.1150000002 4236783.481799999, 616555.2457999997 4236772.1348, 616546.3306999998 4237170.8332, 616537.2429 4237569.9528, 616941.2380999997 4237581.287799999, 617345.3935000002 4237593.0688000005, 617355.0219 4237193.9564, 617364.8110999996 4236795.27, 616960.1150000002 4236783.481799999))"
39,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,160.0,163.42,subsurface,Other Minerals,Pueblo,6th Meridian,19S,66W,26.0,"POLYGON ((522235.5192 4246162.831700001, 522237.96439999994 4245759.4537, 521828.5273000002 4245760.0284, 521418.9238999998 4245760.623400001, 521415.0245000003 4246162.304400001, 521411.12509999983 4246563.9856, 521822.18180000037 4246565.511, 522233.0729 4246566.633400001, 522235.5192 4246162.831700001))"
40,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,160.0,163.42,subsurface,Oil & Gas,Pueblo,6th Meridian,19S,66W,26.0,"POLYGON ((522235.5192 4246162.831700001, 522237.96439999994 4245759.4537, 521828.5273000002 4245760.0284, 521418.9238999998 4245760.623400001, 521415.0245000003 4246162.304400001, 521411.12509999983 4246563.9856, 521822.18180000037 4246565.511, 522233.0729 4246566.633400001, 522235.5192 4246162.831700001))"
41,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,160.0,163.42,subsurface,Coal,Pueblo,6th Meridian,19S,66W,26.0,"POLYGON ((522235.5192 4246162.831700001, 522237.96439999994 4245759.4537, 521828.5273000002 4245760.0284, 521418.9238999998 4245760.623400001, 521415.0245000003 4246162.304400001, 521411.12509999983 4246563.9856, 521822.18180000037 4246565.511, 522233.0729 4246566.633400001, 522235.5192 4246162.831700001))"
42,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,640.6,subsurface,Other Minerals,Montezuma,New Mexico Meridian,37N,17W,35.0,"POLYGON ((174068.35940000042 4147478.2595000006, 174054.6688000001 4147076.3540000003, 173989.09499999974 4147078.4011000004, 173740.9899000004 4147085.9678000007, 173650.20239999983 4147088.7282999996, 173337.66029999964 4147098.3451000005, 173245.6492999997 4147101.2288000006, 172934.39010000043 4147113.0124999993, 172843.02670000028 4147116.598200001, 172531.09140000027 4147128.4234999996, 172440.40340000018 4147131.9869, 172454.9639999997 4147532.606899999, 172469.71160000004 4147933.6437999997, 172483.83499999996 4148335.9778000005, 172498.10039999988 4148737.8906999994, 172901.2218000004 4148724.4428000003, 173304.3563000001 4148710.8584000003, 173707.4168999996 4148697.5720000006, 174051.51879999973 4148686.2887999993, 174110.44579999987 4148683.9835, 174096.2466000002 4148282.0818000007, 174082.04899999965 4147880.1805000007, 174068.35940000042 4147478.2595000006))"
