,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,activity,county,meridian,township,range,section,geometry
408,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,142.88,142.76,subsurface+surface,Oil & Gas,Pueblo,6th Meridian,18S,62W,31.0,"POLYGON ((553887.2593 4254942.040200001, 553886.7829 4254540.2051, 554288.9605 4254544.243100001, 554288.6023000004 4254142.506100001, 553886.3042000001 4254138.262499999, 553542.3976999996 4254134.9188, 553542.2863999996 4254536.7831, 553542.1529999999 4254938.6998, 553542.0220999997 4255340.57, 553887.7293999996 4255343.6779, 553887.2593 4254942.040200001))"
409,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,142.88,142.76,subsurface+surface,Coal,Pueblo,6th Meridian,18S,62W,31.0,"POLYGON ((553887.2593 4254942.040200001, 553886.7829 4254540.2051, 554288.9605 4254544.243100001, 554288.6023000004 4254142.506100001, 553886.3042000001 4254138.262499999, 553542.3976999996 4254134.9188, 553542.2863999996 4254536.7831, 553542.1529999999 4254938.6998, 553542.0220999997 4255340.57, 553887.7293999996 4255343.6779, 553887.2593 4254942.040200001))"
410,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,142.88,142.76,subsurface+surface,Other Minerals,Pueblo,6th Meridian,18S,62W,31.0,"POLYGON ((553887.2593 4254942.040200001, 553886.7829 4254540.2051, 554288.9605 4254544.243100001, 554288.6023000004 4254142.506100001, 553886.3042000001 4254138.262499999, 553542.3976999996 4254134.9188, 553542.2863999996 4254536.7831, 553542.1529999999 4254938.6998, 553542.0220999997 4255340.57, 553887.7293999996 4255343.6779, 553887.2593 4254942.040200001))"
411,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,24.7,24.66,subsurface+surface,Oil & Gas,Moffat,6th Meridian,5N,94W,23.0,"POLYGON ((252619.23180000018 4472280.0145, 252611.06579999998 4472032.261399999, 252531.03299999982 4472034.475500001, 252209.01389999967 4472045.099400001, 252217.20710000023 4472293.2764, 252539.21549999993 4472282.6523, 252619.23180000018 4472280.0145))"
412,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,24.7,24.66,subsurface+surface,Coal,Moffat,6th Meridian,5N,94W,23.0,"POLYGON ((252619.23180000018 4472280.0145, 252611.06579999998 4472032.261399999, 252531.03299999982 4472034.475500001, 252209.01389999967 4472045.099400001, 252217.20710000023 4472293.2764, 252539.21549999993 4472282.6523, 252619.23180000018 4472280.0145))"
413,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,24.7,24.66,subsurface+surface,Other Minerals,Moffat,6th Meridian,5N,94W,23.0,"POLYGON ((252619.23180000018 4472280.0145, 252611.06579999998 4472032.261399999, 252531.03299999982 4472034.475500001, 252209.01389999967 4472045.099400001, 252217.20710000023 4472293.2764, 252539.21549999993 4472282.6523, 252619.23180000018 4472280.0145))"
414,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,326.37,subsurface,Other Minerals,Montezuma,New Mexico Meridian,35N,16W,11.0,"POLYGON ((182510.96420000028 4135138.2140999995, 182489.51379999984 4134724.2032999992, 182902.2089999998 4134704.6136000007, 182888.9439000003 4134310.4516000003, 182875.18609999958 4133901.2379, 182465.5976999998 4133919.5955999997, 182055.8833999997 4133937.190199999, 181642.54760000017 4133953.8001000006, 181663.07400000002 4134358.354699999, 181683.68609999958 4134762.906300001, 182086.56049999967 4134743.4594, 182107.6327999998 4135155.3841999993, 182128.68840000033 4135567.2665999997, 182532.4785000002 4135552.392999999, 182510.96420000028 4135138.2140999995))"
415,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,326.37,subsurface,Oil & Gas,Montezuma,New Mexico Meridian,35N,16W,11.0,"POLYGON ((182510.96420000028 4135138.2140999995, 182489.51379999984 4134724.2032999992, 182902.2089999998 4134704.6136000007, 182888.9439000003 4134310.4516000003, 182875.18609999958 4133901.2379, 182465.5976999998 4133919.5955999997, 182055.8833999997 4133937.190199999, 181642.54760000017 4133953.8001000006, 181663.07400000002 4134358.354699999, 181683.68609999958 4134762.906300001, 182086.56049999967 4134743.4594, 182107.6327999998 4135155.3841999993, 182128.68840000033 4135567.2665999997, 182532.4785000002 4135552.392999999, 182510.96420000028 4135138.2140999995))"
416,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,326.37,subsurface,Coal,Montezuma,New Mexico Meridian,35N,16W,11.0,"POLYGON ((182510.96420000028 4135138.2140999995, 182489.51379999984 4134724.2032999992, 182902.2089999998 4134704.6136000007, 182888.9439000003 4134310.4516000003, 182875.18609999958 4133901.2379, 182465.5976999998 4133919.5955999997, 182055.8833999997 4133937.190199999, 181642.54760000017 4133953.8001000006, 181663.07400000002 4134358.354699999, 181683.68609999958 4134762.906300001, 182086.56049999967 4134743.4594, 182107.6327999998 4135155.3841999993, 182128.68840000033 4135567.2665999997, 182532.4785000002 4135552.392999999, 182510.96420000028 4135138.2140999995))"
417,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,314.57,312.34,subsurface+surface,Other Minerals,Bent,6th Meridian,21S,53W,6.0,"POLYGON ((640437.1919 4234205.9167, 640060.0329999998 4234197.818399999, 640051.2660999997 4234596.9738, 640042.5142000001 4234996.142200001, 640415.7570000002 4235003.3050999995, 640818.7313999999 4235011.145500001, 641224.3404000001 4235018.7674, 641629.8947999999 4235026.6994, 641637.3420000002 4234629.646600001, 641644.6217 4234232.591, 641242.0542000001 4234223.442, 640839.4780000001 4234214.6537, 640437.1919 4234205.9167))"
