,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
1506,WI,University of Wisconsin,40.0,39.13,Normal School,Board of Commissioners of Public Lands,Oneida,38N,10E,09,NWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((524522.7876186294 2553541.047465713, 524559.486178215 2553138.3592756824, 524162.4295017492 2553130.8142262828, 524132.9490234672 2553531.7010733485, 524522.7876186294 2553541.047465713))"
1507,WI,University of Wisconsin,40.0,39.41,Normal School,Board of Commissioners of Public Lands,Forest,38N,13E,03,SWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((555302.6073943054 2555384.239265345, 555331.8763034559 2554985.659997704, 554934.0993358407 2554962.4728070917, 554903.3323016836 2555360.7326600505, 555302.6073943054 2555384.239265345))"
1508,WI,University of Wisconsin,40.0,40.38,Normal School,Board of Commissioners of Public Lands,Forest,41N,14E,35,SWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((563813.2529204455 2577718.584420894, 564217.1886059684 2577749.3442919967, 564250.127418668 2577347.302944173, 563846.4528769526 2577316.3678613016, 563813.2529204455 2577718.584420894))"
1509,WI,University of Wisconsin,40.0,39.95,Normal School,Board of Commissioners of Public Lands,Forest,41N,14E,35,NESW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((564653.6722409591 2577378.2220216766, 564685.809975655 2576981.0692015057, 564282.8577931422 2576947.683118321, 564250.127418668 2577347.302944173, 564653.6722409591 2577378.2220216766))"
1510,WI,University of Wisconsin,40.0,40.08,Normal School,Board of Commissioners of Public Lands,Forest,41N,14E,35,NWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((564250.127418668 2577347.302944173, 564282.8577931422 2576947.683118321, 563879.7470768037 2576916.9098204942, 563846.4528769526 2577316.3678613016, 564250.127418668 2577347.302944173))"
1511,WI,University of Wisconsin,40.0,40.0,Normal School,Board of Commissioners of Public Lands,Forest,41N,14E,34,NESW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((563044.92384156 2577255.972454505, 563075.8481994582 2576855.3045878205, 562673.9908729565 2576824.5329905325, 562644.0314212606 2577225.7599280076, 563044.92384156 2577255.972454505))"
1512,WI,University of Wisconsin,40.0,39.78,Normal School,Board of Commissioners of Public Lands,Forest,41N,14E,35,SWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((564282.8577931422 2576947.683118321, 564315.3049347092 2576550.6691977074, 564270.2335901632 2576547.18443906, 563912.2495150937 2576520.114300514, 563879.7470768037 2576916.9098204942, 564282.8577931422 2576947.683118321))"
1513,WI,University of Wisconsin,40.0,39.99,Normal School,Board of Commissioners of Public Lands,Vilas,41N,09E,32,NWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((512161.07299700915 2573517.962326952, 512192.78057329037 2573114.394563479, 511791.78162764484 2573086.7657809975, 511765.282433818 2573424.2857409953, 511760.409616199 2573486.0454010232, 511784.0624047847 2573487.9125584923, 512161.07299700915 2573517.962326952))"
1514,WI,University of Wisconsin,39.24,37.95,Normal School,Board of Commissioners of Public Lands,Vilas,43N,09E,19,SWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((508190.86280095816 2595355.4130216134, 508214.0492769572 2594956.569463169, 507834.9343474918 2594909.482192808, 507807.73619368253 2595310.5875671627, 508190.86280095816 2595355.4130216134))"
1515,WI,University of Wisconsin,40.0,39.89,Normal School,Board of Commissioners of Public Lands,Ashland,43N,04W,36,NENW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((401043.54137968185 2586164.191170198, 401021.4755919245 2586563.6574720563, 401423.98227661016 2586589.326039125, 401446.04491104034 2586189.3591081556, 401043.54137968185 2586164.191170198))"
