,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,meridian,township,range,aliquot,geometry
3802,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.94,subsurface,5,125N,56W,NESE,"POLYGON ((-10856461.2738 5717399.695699997, -10857035.2083 5717399.969400004, -10857035.8116 5717975.2557, -10856461.7535 5717975.021600001, -10856461.2738 5717399.695699997))"
3803,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.93,subsurface,5,125N,56W,SESE,"POLYGON ((-10856460.791 5716824.406900004, -10857034.6048 5716824.707000002, -10857035.2083 5717399.969400004, -10856461.2738 5717399.695699997, -10856460.791 5716824.406900004))"
3804,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.94,subsurface,5,125N,56W,NWNE,"POLYGON ((-10857036.415 5718550.539099999, -10857610.5938 5718550.653700002, -10857611.3176 5719125.894699998, -10857037.0152 5719125.837700002, -10857036.415 5718550.539099999))"
3805,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.94,subsurface,5,125N,56W,SWNE,"POLYGON ((-10857035.8116 5717975.2557, -10857609.8666 5717975.4498, -10857610.5938 5718550.653700002, -10857036.415 5718550.539099999, -10857035.8116 5717975.2557))"
3806,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.94,subsurface,5,125N,56W,NWSE,"POLYGON ((-10857035.2083 5717399.969400004, -10857609.1427 5717400.212099999, -10857609.8666 5717975.4498, -10857035.8116 5717975.2557, -10857035.2083 5717399.969400004))"
3807,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.93,subsurface,5,125N,56W,SWSE,"POLYGON ((-10857034.6048 5716824.707000002, -10857608.4188 5716825.006999999, -10857609.1427 5717400.212099999, -10857035.2083 5717399.969400004, -10857034.6048 5716824.707000002))"
3808,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,36.97,40.0,subsurface,5,128N,68W,NESW,"POLYGON ((-11026322.2806 5759750.041100003, -11026322.4779 5760328.823299997, -11025745.5479 5760328.905699998, -11025745.366 5759750.225599997, -11026322.2806 5759750.041100003))"
3809,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.96,subsurface,5,125N,7W,NWNW,"POLYGON ((-11054471.7747 5719360.359200001, -11054471.9824 5719936.313299999, -11053898.0206 5719936.634900004, -11053897.7943 5719360.782399997, -11054471.7747 5719360.359200001))"
3810,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.97,subsurface,5,125N,7W,SWNW,"POLYGON ((-11054471.5702 5718784.438000001, -11054471.7747 5719360.359200001, -11053897.7943 5719360.782399997, -11053897.5712 5718784.949500002, -11054471.5702 5718784.438000001))"
3811,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.97,subsurface,5,125N,7W,NWSW,"POLYGON ((-11054471.3625 5718208.558200002, -11054471.5702 5718784.438000001, -11053897.5712 5718784.949500002, -11053897.345 5718209.1184, -11054471.3625 5718208.558200002))"
3812,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.98,subsurface,5,125N,7W,SWSW,"POLYGON ((-11054471.1548 5717632.7157000005, -11054471.3625 5718208.558200002, -11053897.345 5718209.1184, -11053897.1188 5717633.302199997, -11054471.1548 5717632.7157000005))"
3813,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.96,subsurface,5,125N,7W,NENW,"POLYGON ((-11053897.7943 5719360.782399997, -11053898.0206 5719936.634900004, -11053324.0585 5719936.9608, -11053323.8138 5719361.174699999, -11053897.7943 5719360.782399997))"
3814,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.96,subsurface,5,125N,7W,SENW,"POLYGON ((-11053897.5712 5718784.949500002, -11053897.7943 5719360.782399997, -11053323.8138 5719361.174699999, -11053323.5723 5718785.4212, -11053897.5712 5718784.949500002))"
3815,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.97,subsurface,5,125N,7W,NESW,"POLYGON ((-11053897.345 5718209.1184, -11053897.5712 5718784.949500002, -11053323.5723 5718785.4212, -11053323.3275 5718209.634300001, -11053897.345 5718209.1184))"
3816,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.97,subsurface,5,125N,7W,SESW,"POLYGON ((-11053897.1188 5717633.302199997, -11053897.345 5718209.1184, -11053323.3275 5718209.634300001, -11053323.0859 5717633.884499997, -11053897.1188 5717633.302199997))"
3817,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.95,subsurface,5,125N,7W,NWNE,"POLYGON ((-11053323.8138 5719361.174699999, -11053324.0585 5719936.9608, -11052750.0935 5719937.282200001, -11052749.8333 5719361.562399998, -11053323.8138 5719361.174699999))"
3818,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.96,subsurface,5,125N,7W,SWNE,"POLYGON ((-11053323.5723 5718785.4212, -11053323.8138 5719361.174699999, -11052749.8333 5719361.562399998, -11052749.5733 5718785.8576000035, -11053323.5723 5718785.4212))"
3819,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.96,subsurface,5,125N,7W,NWSE,"POLYGON ((-11053323.3275 5718209.634300001, -11053323.5723 5718785.4212, -11052749.5733 5718785.8576000035, -11052749.31 5718210.154700004, -11053323.3275 5718209.634300001))"
3820,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.97,subsurface,5,125N,7W,SWSE,"POLYGON ((-11053323.0859 5717633.884499997, -11053323.3275 5718209.634300001, -11052749.31 5718210.154700004, -11052749.0499 5717634.471199997, -11053323.0859 5717633.884499997))"
3821,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.95,subsurface,5,125N,7W,NENE,"POLYGON ((-11052749.8333 5719361.562399998, -11052750.0935 5719937.282200001, -11052176.1315 5719937.608199999, -11052175.8529 5719361.914899997, -11052749.8333 5719361.562399998))"
3822,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.95,subsurface,5,125N,7W,SENE,"POLYGON ((-11052749.5733 5718785.8576000035, -11052749.8333 5719361.562399998, -11052175.8529 5719361.914899997, -11052175.5742 5718786.258699998, -11052749.5733 5718785.8576000035))"
3823,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.96,subsurface,5,125N,7W,NESE,"POLYGON ((-11052749.31 5718210.154700004, -11052749.5733 5718785.8576000035, -11052175.5742 5718786.258699998, -11052175.2926 5718210.639700003, -11052749.31 5718210.154700004))"
3824,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.96,subsurface,5,125N,7W,SESE,"POLYGON ((-11052749.0499 5717634.471199997, -11052749.31 5718210.154700004, -11052175.2926 5718210.639700003, -11052175.014 5717635.057700001, -11052749.0499 5717634.471199997))"
