,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,data_source,geometry
12,MN,University of Minnesota,40.0,41.04,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,5,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461927.4408 5083494.1121, 462339.5552000003 5083471.614700001, 462348.17700000014 5083067.580800001, 461936.8448999999 5083091.078299999, 461927.4408 5083494.1121))"
13,MN,University of Minnesota,40.0,40.93,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,5,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461515.31819999963 5083516.609999999, 461927.4408 5083494.1121, 461936.8448999999 5083091.078299999, 461525.51300000027 5083114.575999999, 461515.31819999963 5083516.609999999))"
14,MN,University of Minnesota,40.0,40.13,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,8,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461602.16779999994 5081091.769099999, 462004.05090000015 5081066.4398, 462020.1816999996 5080660.230599999, 461620.9269000003 5080685.5232, 461602.16779999994 5081091.769099999))"
15,MN,University of Minnesota,40.0,40.14,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,8,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((462004.05090000015 5081066.4398, 462405.93429999985 5081041.1106, 462419.4397 5080634.9636, 462020.1816999996 5080660.230599999, 462004.05090000015 5081066.4398))"
16,MN,University of Minnesota,57.69,59.42,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((459790.3881000001 5080365.578, 460385.0837000003 5080337.673599999, 460391.93740000017 5079933.616900001, 459794.89190000016 5079962.581900001, 459790.3881000001 5080365.578))"
17,MN,University of Minnesota,40.0,41.29,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460804.7603000002 5079913.589299999, 461217.59700000007 5079893.5604, 461223.04980000015 5079488.183, 460810.91139999963 5079508.8303, 460804.7603000002 5079913.589299999))"
18,MN,University of Minnesota,40.0,41.43,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460792.4605999999 5080722.9506, 461206.6925999997 5080704.223200001, 461212.14470000006 5080298.898700001, 460798.6102 5080318.2699, 460792.4605999999 5080722.9506))"
19,MN,University of Minnesota,40.0,41.36,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460378.23039999977 5080741.7059, 460792.4605999999 5080722.9506, 460798.6102 5080318.2699, 460385.0837000003 5080337.673599999, 460378.23039999977 5080741.7059))"
20,MN,University of Minnesota,40.0,41.36,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461217.59700000007 5079893.5604, 461630.4338999996 5079873.5315000005, 461635.1889000004 5079467.5353999995, 461223.04980000015 5079488.183, 461217.59700000007 5079893.5604))"
21,MN,University of Minnesota,40.0,41.5,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461206.6925999997 5080704.223200001, 461620.9269000003 5080685.5232, 461625.6798999999 5080279.5273, 461212.14470000006 5080298.898700001, 461206.6925999997 5080704.223200001))"
