HoldingDetailID,LeaseType,LegalDescription,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian,STRM,HoldingDetailTypeID
71C5F344-B97F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 16-27N-01EIM, Kay County; less the area described as:  beginning at the SW/C said SW/4; thence E 605.32’ to POB; thence W 476.65’; thence N 135.32’; thence E 476.65’; thence S 135.32’ to POB, containing 3.45 Acres; less a 4.91 acre easement",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,16,SW,I,16-27N-01EIM,2
71C5F344-B97F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 16-27N-01EIM, Kay County; less the area described as:  beginning at the SW/C said SW/4; thence E 605.32’ to POB; thence W 476.65’; thence N 135.32’; thence E 476.65’; thence S 135.32’ to POB, containing 3.45 Acres; less a 4.91 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,16,SW,I,16-27N-01EIM,2
34E1885A-BB7F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 16-27N-1EIM",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,16,NW,I,16-27N-01EIM,2
34E1885A-BB7F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 16-27N-1EIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,16,NW,I,16-27N-01EIM,2
9C9D9280-BC7F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 16-27N-1EIM, Kay County; less the area described as:  the E/2 of the W/2 of the SE/4 of the SW/4 of said SE/4 and the E/2 of the SE/4 of the SW/4 of said SE/4, containing 7.50 Acres; less a 3.24 acre easement",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,16,SE,I,16-27N-01EIM,2
9C9D9280-BC7F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 16-27N-1EIM, Kay County; less the area described as:  the E/2 of the W/2 of the SE/4 of the SW/4 of said SE/4 and the E/2 of the SE/4 of the SW/4 of said SE/4, containing 7.50 Acres; less a 3.24 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,16,SE,I,16-27N-01EIM,2
4EA16AEC-BC7F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 16-27N-2EIM",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,NE,I,16-27N-02EIM,2
4EA16AEC-BC7F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 16-27N-2EIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,NE,I,16-27N-02EIM,2
A78CB483-BD7F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 16-27N-2EIM",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,NW,I,16-27N-02EIM,2
A78CB483-BD7F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 16-27N-2EIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,NW,I,16-27N-02EIM,2
62B68C01-BF7F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 16-27N-2EIM, Kay County; less a 4.05 acre easement",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,SW,I,16-27N-02EIM,2
62B68C01-BF7F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 16-27N-2EIM, Kay County; less a 4.05 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,SW,I,16-27N-02EIM,2
